Program,Prime,Location,Role,Quick Pitch
NARSIL – Advanced Research for System Intelligence,Peraton,"Herndon, Virginia",SECRET DATABASE ENGINEER,PTS + Peraton = bench candidates for NARSIL – Advanced Researc
"EDIS – Engineering, Development, Integration & Sus",SAIC,"Colorado Springs, Colorado",SCHEDULER,"PTS + SAIC = bench candidates for EDIS – Engineering, Devel"
DIA Information Systems Engineering Office,Leidos,"Frederick, Maryland",PRE-DEPLOYMENT MANAGER,PTS + Leidos = bench candidates for DIA Information Systems E
NASA SENSE (Space Comms & Tracking),Peraton,"Washington, VA",Oracle DBA,PTS + Peraton = bench candidates for NASA SENSE (Space Comms &
PRISM Support Services (Consolidated),"11 MA-IDIQ primes (incl. CTC, ","Milford Mill, MD",Microsoft Copilot Studio AI SME,PTS + 11 MA-IDIQ prim = bench candidates for PRISM Support Services (C
BICES Defense Intelligence Agency Variant,CACI + Leidos + Peraton + SAIC,"Colorado Springs, CO",Sr Elastic Engineer (EDR/Defend Focus),PTS + CACI + Leidos + = bench candidates for BICES Defense Intelligenc
Integrated Base Defense Security System,Leidos,"Reston, VA",Sr ISSE,PTS + Leidos = bench candidates for Integrated Base Defense S
Advanced Battle Management System,Multi (SAIC supports parts),"Colorado Springs, Colorado",PRICING ANALYST - SECRET CLEARANCE,PTS + Multi (SAIC sup = bench candidates for Advanced Battle Managemen
SPICE (Space Payload Integration & Cyber Eng),SAIC / LinQuest (indicative),"Hill AFB, Utah",SENIOR NUCLEAR HARDNESS ELECTRICAL ENGIN,PTS + SAIC / LinQuest = bench candidates for SPICE (Space Payload Inte
MSS Smart Systems (Palantir contract),Palantir,"Norfolk, Virginia",DATA ENGINEER,PTS + Palantir = bench candidates for MSS Smart Systems (Palant
"EDIS – Engineering, Development, Integration & Sus",SAIC,"Colorado Springs, Colorado",SECRET SOFTWARE ENGINEER,"PTS + SAIC = bench candidates for EDIS – Engineering, Devel"
SPICE (Space Payload Integration & Cyber Eng),SAIC / LinQuest (indicative),"Hill AFB, Utah",JUNIOR NUCLEAR HARDNESS ELECTRICAL ENGIN,PTS + SAIC / LinQuest = bench candidates for SPICE (Space Payload Inte
Hypersonic & Ballistic Tracking Space Sensor,Northrop & L3Harris (co-primes,"Chandler, Arizona",CLEARED GNC SR. PRINCIPAL ENGINEER,PTS + Northrop & L3Ha = bench candidates for Hypersonic & Ballistic Tr
Next-Generation Overhead Persistent Infrared,Northrop Grumman,"El Segundo, California",VERIFICATION & VALIDATION ENGINEER,PTS + Northrop Grumma = bench candidates for Next-Generation Overhead 
Army IT Enterprise Mgmt Systems Solution,CACI,"Arlington, VA",Security Control Assessor,PTS + CACI = bench candidates for Army IT Enterprise Mgmt S
Integrated Base Defense Security System,Leidos,"Reston, VA",Sr Systems Administrator,PTS + Leidos = bench candidates for Integrated Base Defense S
Peraton ARCYBER Information Advantage Enterprise,Peraton,"Fort George G Meade, MD",Cyber Security Watch Officer LCAT 1 Week,PTS + Peraton = bench candidates for Peraton ARCYBER Informati
Distributed Common Ground System (AF),BAE; multiple,"Hampton, VA",Tier 1 Network Monitor,PTS + BAE; multiple = bench candidates for Distributed Common Ground
GRASP (Raytheon/Peraton),Peraton,"North Charleston, SC",Software Developer,PTS + Peraton = bench candidates for GRASP (Raytheon/Peraton)
MDA Tactical Embedded Systems,Northrop Grumman,"Chandler, AZ",(VMS) Guidance Navigation &amp; Control ,PTS + Northrop Grumma = bench candidates for MDA Tactical Embedded Sys
Project Convergence (JADC2 Experiments),SAIC,"Charlottesville, VA",Install Specialist / IT Certified Profes,PTS + SAIC = bench candidates for Project Convergence (JADC
Integrated Base Defense Security System,Leidos,"Reston, VA",Sr Network Engineer,PTS + Leidos = bench candidates for Integrated Base Defense S
Navy Aegis Combat System Modernization,Lockheed Martin,"Fort Worth, TX",IT System Engineer,PTS + Lockheed Martin = bench candidates for Navy Aegis Combat System 
Ground-Based Midcourse Defense,Boeing (prime); Northrop & Ray,"Huntsville, Alabama",MECHANICAL ENGINEER - SECRET CLEARANCE,PTS + Boeing (prime); = bench candidates for Ground-Based Midcourse De
GRASP (Raytheon/Peraton),Peraton,"Salt Lake City, Utah",FIELD ENGINEER (CENTRAL US),PTS + Peraton = bench candidates for GRASP (Raytheon/Peraton)
Army Enterprise Service Management Framework,SAIC,"Colorado Springs, Colorado",BUYER'S TECHNICAL WRITER - SECRET,PTS + SAIC = bench candidates for Army Enterprise Service M
Advanced Battle Management System,Multi (SAIC supports parts),"Colorado Springs, Colorado",SECRET SENIOR ELASTIC ENGINEER,PTS + Multi (SAIC sup = bench candidates for Advanced Battle Managemen
Air Force Cyber Operations / Platform One + Cyber/,SAIC; Leidos; CACI; Booz Allen,"Colorado Springs, Colorado",SECRET LINUX SYSTEM ADMINISTRATOR (CO SP,PTS + SAIC; Leidos; C = bench candidates for Air Force Cyber Operation
Army AESD Enterprise Service Desk,SAIC,"San Antonio, Texas",TS/SCI LOGISTICS SPECIALIST,PTS + SAIC = bench candidates for Army AESD Enterprise Serv
Army Enterprise Service Management Framework,SAIC,"Colorado Springs, Colorado",TS/SCI CI POLY SOFTWARE ENGINEER,PTS + SAIC = bench candidates for Army Enterprise Service M
