Job Title,Location,Clearance,Program,Match Score,Match Confidence,Job URL,BD Talking Points,Target Contact Titles,LinkedIn Search
Project Management Consultant-Level 3 - Senior (11 - 15 Years),"Juno Beach, FL",,SITEC III – Enterprise Operations & Maintenance,5,Medium,https://www.apexsystems.com/job/3014247_usa/project-management-consultant-level-3---senior-11---15-years,"PTS partners with Peraton on critical programs. For SITEC III – Enterprise Operati, we have immediate availability for  roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Juno Beach"
Network Security Engineer,"Arlington, VA",,Data Center & Cloud Optimization,11,High,https://www.apexsystems.com/job/3016779_usa/network-security-engineer,"PTS partners with Peraton on critical programs. For Data Center & Cloud Optimizati, we have immediate availability for  roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Arlington"
Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am),"Fort George G Meade, MD",,Peraton ARCYBER Information Advantage Enterprise,12,High,https://www.apexsystems.com/job/3018220_usa/cyber-security-watch-officer-lcat-1-weekday-night-monday---thursday-9pm---7am,"PTS partners with Peraton on critical programs. For Peraton ARCYBER Information Ad, we have immediate availability for  roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Fort George G Meade"
Software Developer,"North Charleston, SC",,GRASP (Raytheon/Peraton),12,High,https://www.apexsystems.com/job/3018277_usa/software-developer,"PTS partners with Peraton on critical programs. For GRASP (Raytheon/Peraton), we have immediate availability for  roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND North Charleston"
Oracle DBA,"Washington, VA",,NASA SENSE (Space Comms & Tracking),15,High,https://www.apexsystems.com/job/3013298_usa/oracle-dba,"PTS partners with Peraton on critical programs. For NASA SENSE (Space Comms & Trac, we have immediate availability for  roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Washington"
Sr Elastic Engineer (EDR/Defend Focus),"Colorado Springs, CO",ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS,BICES Defense Intelligence Agency Variant,14,High,https://www.apexsystems.com/job/3017651_usa/sr-elastic-engineer-edrdefend-focus,"PTS partners with Peraton on critical programs. For BICES Defense Intelligence Age, we have immediate availability for ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Colorado Springs"
Data Center Engineer - RTP (TS/SCI with Full Scope Poly),"Research Triangle Park, NC",TS/SCI with Full Scope Poly (FSP),Data Center & Cloud Optimization,6,Medium,https://www.apexsystems.com/job/2089337_usa/data-center-engineer---rtp-tssci-with-full-scope-poly,"PTS partners with Peraton on critical programs. For Data Center & Cloud Optimizati, we have immediate availability for TS/SCI with Full Scope Poly (FSP) roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Research Triangle Park"
Cloud Engineer,"Fayetteville, NC",active Secret Clearance eligible for upgrade.,CMS Enterprise Cloud Infrastructure Services,6,Medium,https://www.apexsystems.com/job/3012821_usa/cloud-engineer,"PTS partners with Peraton on critical programs. For CMS Enterprise Cloud Infrastru, we have immediate availability for active Secret Clearance eligible for upgrade. roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Fayetteville"
Deployed Support Specialist Mid- Pensacola,"Pensacola, FL",,SITEC III – Enterprise Operations & Maintenance,7,Medium,https://www.apexsystems.com/job/3013245_usa/deployed-support-specialist-mid--pensacola,"PTS partners with Peraton on critical programs. For SITEC III – Enterprise Operati, we have immediate availability for  roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Pensacola"
FIELD ENGINEER (CENTRAL US),"Salt Lake City, Utah",,GRASP (Raytheon/Peraton),12,High,https://insightglobal.com/jobs/find_a_job/utah/salt-lake-city/field-engineer-central-us-/job-480738/,"PTS partners with Peraton on critical programs. For GRASP (Raytheon/Peraton), we have immediate availability for  roles.","Staffing Lead, Program Manager, Subcontracts Manager, HR Business Partner","""Staffing"" OR ""Program Manager"" AND Peraton AND Salt Lake City"
