Rank,Acronym,Program Name,Prime Contractor,Agency,Contract Value,Obligated Amount,Contract Number,PoP Start,PoP End,Ultimate Completion,Recompete Date,Clearance,Locations,Typical Roles,BD Score,BD Priority,Greenfield Type,Bullhorn Placements,Bullhorn Mentions,Gap Status,NAICS,Set Aside,Vehicle Type,Subaward Total,Subaward Count,Data Source
1,Alliant 2,GSA Alliant 2,40+ primes,DoD,$82.50B,,,,,,,Secret,Government-wide,IT solutions; dev; ops; cloud,,High,,,,,,,GWAC,,0,master_db
2,LOGCAP V,LOGCAP V,KBR; V2X; Fluor; Amentum,Army,$82.00B,$2.19B,W52P1J19F0394,2019-04-12,2026-03-29,2026-03-29,,"Public Trust, Secret",Global theaters,Base ops; supply; transportation; life support,,Medium,,1,,,561210,,IDIQ,$4.31B,5665,master_db
3,LPDH,MHS GENESIS / Leidos Partnership for Defense Health,Leidos,DoD,$70.99B,$4.81B,HHSN261200800001E,2008-09-26,2024-09-06,2024-09-06,,"Public Trust, Secret",MHS sites CONUS / OCONUS,Clinical help desk; applications support; site support technicians,,Medium,,25,,,561210,,PRIME INTEGRATION PROGRAM,,0,master_db
4,DHMSM (MHS GENESIS),DoD Health Modernization,Leidos; Cerner; Accenture,DoD,$70.99B,$4.81B,HHSN261200800001E,2008-09-26,2024-09-06,2024-09-06,,"Public Trust, Secret",MTFs nationwide,Health IT; clinical IT integration; systems analysts,,Medium,,3,,,561210,,ACQUISITION / DEPLOY,,0,master_db
5,COOLR,Common Open Operational Launch Range,Lockheed Martin (indicative),Space Force,$45.27B,$35.14B,N0001917C0001,2017-11-17,2031-03-31,2031-03-31,,Secret,Ranges (test ranges),C2 / Range software engineers,,Medium,,1,,,336411,,R&D,$19.01B,12781,master_db
6,Aegis,Aegis Ballistic Missile Defense / Aegis Program,Lockheed Martin,Navy,$45.27B,$35.14B,N0001917C0001,2017-11-17,2031-03-31,2031-03-31,,"Secret, TS/SCI","Aegis ashore and afloat sites; e.g., Aurora CO; Huntsville AL; shipyards",Advanced Battle Management System,,Medium,,,,,336411,,MAJOR WEAPON SYSTEM / SHIPBORNE MISSILE DEFENSE,$19.01B,12781,master_db
7,RS3,Army Responsive Strategic Sourcing for Services,261 primes,Army,$37.40B,$39.3M,W15QKN19F1290,2019-08-28,2025-08-29,2025-08-29,,Secret,CONUS/OCONUS,C4ISR engineering; IT; logistics,,Medium,,,,,541519,,IDIQ,,0,master_db
8,AFGIS (LM),Air Force GIS Program (Lockheed Martin),Lockheed Martin,Air Force,$29.49B,$34.13B,N0001902C3002,2001-10-26,2022-12-16,2022-12-16,,Secret,AFLCMC (multiple program offices),GIS engineers; geospatial analysts; systems integrators,,Medium,,1,,,336411,,Services,,0,master_db
9,IAC-MAC,DoD IAC Multiple Award Contract,Multiple primes,DoD,$28.00B,$960.0M,GSQ0017AJ0006,2016-10-28,2022-02-28,2022-02-28,,Secret,DoD labs CONUS,R&D SMEs; scientists; analysts,,Medium,,2,,,541712,,IDIQ,$214.2M,92,master_db
10,ENCORE III,DISA ENCORE III,20 large + 20 small primes,DISA,$17.50B,,,,,,,Secret,DoD-wide,IT modernization; software; cyber; net ops,,Medium,,,,,,,IDIQ,,0,master_db
11,ENCORE III Cyber,DISA ENCORE III Cyber Task Orders,CACI,DISA,$17.50B,$708.3M,47QFRA19F0011,2019-05-08,2024-04-30,2024-04-30,,TS/SCI,Fort Meade MD; Scott AFB IL,Boundary protection; DevSecOps; PKI; cyber engineering,,Medium,,,,,541512,,IDIQ,$10.0M,2,master_db
12,,NRO Ground Systems DevOps (Seal Beach),Boeing,NRO,$13.36B,$10.80B,FA821920C0006,2020-09-08,2029-03-10,2029-03-10,,TS/SCI w/ Poly,Seal Beach CA,DevOps engineers; CI/CD & infra automation for NRO ground systems,,Medium,,13,,,336414,,Services,$27.74B,4019,master_db
13,DSS Support,DSS Support,Northrop (mention); others,DoD,$13.36B,$10.80B,FA821920C0006,2020-09-08,2029-03-10,2029-03-10,,Secret,NCR,Security IT; insider threat IT support,,Medium,,,,,336414,,Services,$27.74B,4019,master_db
14,IDEE,Integrated Digital Engineering Environment,Northrop Grumman,Air Force,$13.36B,$10.80B,FA821920C0006,2020-09-08,2029-03-10,2029-03-10,,TS/SCI,Ogden UT,MBSE engineers; SysML modelers; digital twin developers,,Medium,,,,,336414,,DIGITAL ENGINEERING SUITE,$27.74B,4019,master_db
15,,NGOPIR / NGG / NGOPIR (already normalized — link row),Northrop Grumman,Space Force,$13.36B,$10.80B,FA821920C0006,2020-09-08,2029-03-10,2029-03-10,,TS/SCI,SSC; Colorado Springs,Space payloads; C2; missile-warning exploitation,,High,,,,,336414,,Production,$27.74B,4019,master_db
16,RUSHMORE,RUSHMORE,Northrop Grumman,Space Force,$13.36B,$10.80B,FA821920C0006,2020-09-08,2029-03-10,2029-03-10,,TS/SCI,Aurora CO (Buckley SFB),Principal Java SW Engineer; C2/SATOPS SW,,High,,,,CRITICAL_GAP,336414,,SOFTWARE ENGINEERING PROGRAM,$27.74B,4019,master_db
17,SMORS,STRATCOM Mission Readiness,needs-scrape,DoD,$13.36B,$10.80B,FA821920C0006,2020-09-08,2029-03-10,2029-03-10,,"Secret, TS/SCI",Colorado Springs CO; Offutt AFB NE,Sustainment engineers; ILS; RMF,,🟠 High,,,,,336414,,Services,$27.74B,4019,master_db
