Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Start Date (Tango),Current End Date (Tango),Ultimate End Date (Tango),Base + Options Value (Tango),Total Obligated (Tango),Performance Location (Tango),Tango NAICS Code,Tango PSC Code,Recipient UEI (Tango),Recipient Name (Tango),Awarding Office (Tango),Set Aside (Tango),Contract Signed Date (Tango),NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
16th Air Force Mission IT Support,16AF Mission IT,Air Force,nan,"Secret, TS/SCI",High,$261M,nan,Lackland TX; Eglin/Tyndall FL; Nellis NV; Hill UT,Multi-base coverage,Specialty subs (EW/cyber),nan,nan,ManTech,Cyber,nan,"“$261M… multiple AF bases (Lackland, Nellis, Hill…)”","Mission help desk, Software support techs, Cyber ops, EW techs",FA807519FA029,16AF Mission IT,Medium,1.0,,,"Mission help desk, Software support techs, Cyber ops, EW techs",2019-08-29,2024-09-30,2024-09-30,"$321,513,710.00","$316,952,144.94","QUANTICO, VIRGINIA",541715,AZ12,V9KKND8S1KJ3,MANTECH TSG-2 JOINT VENTURE,FA8075  774 ESS (Department of the Air Force),None,2019-08-29,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
53rd Air Wing IT/EW Support,53rd Air Wing,Air Force,Medium,"Secret, TS/SCI",Medium,nan,nan,"Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, Test & Evaluation)","“AF EW/cyber”, “53rd Wing”, “IT/EW support”, “test & evaluation”, “Eglin/Nellis/Hill”, “weapon system EW”, “operational test”, “cyber test infrastructure”",nan,Target,nan,"SAIC / Leidos (indicative, not confirmed)",Cyber,nan,No explicit listing in files; derived from 53rd Wing (EW/cyber test) mission set + your field inputs,Cybersecurity engineers; EW engineers; Spectrum operations; Software test engineers; Range IT/mission support techs; Data analysts; Systems engineers (EW/cyber test); Network engineers,FA877319FA023,53rd Air Wing,Medium,2.0,,,Cybersecurity engineers; EW engineers; Spectrum operations; Software test engineers; Range IT/mission support techs; Data analysts; Systems engineers (EW/cyber test); Network engineers,2019-04-28,2025-11-27,2026-07-27,"$25,546,891.00","$40,554,571.08","SAN ANTONIO, TEXAS",541330,R425,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,FA8773 ACC 38 CONS (Department of the Air Force),None,2019-03-07,Engineering Services,,,,,,,,No Match
Advanced Battle Management System,ABMS,Air Force,Medium,"Secret, Top Secret",Medium,nan,MULTIPLE CONTRACTS,"Eglin AFB, FL; Hanscom AFB, MA",FVL / LRPF / AMD / NGCV / Network / Soldier,"CACI, Raytheon",nan,nan,Multi (SAIC supports parts),Professional Services,nan,"Multiple primes (Lockheed, Raytheon, Northrop, BAE, GD, etc. depending on portfolio)",AUSA Modernization Portfolios (aggregate),FA251822F0034,ABMS,Medium,2.0,,Network Administration,AUSA Modernization Portfolios (aggregate),2022-06-27,2026-06-28,2027-06-28,"$694,278.73","$2,893,647.82","COLORADO SPRINGS, COLORADO",541512,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",FA2518  USSF SPOC/SAIO (Department of the Air Force),8A,2022-06-27,Computer Systems Design Services,,,,,,,,No Match
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,nan,"Secret, Top Secret",High,Multi-$B,nan,Tucson AZ (Raytheon missile facilities); additional supplier sites across U.S. and allied nations,“AMRAAM”; “Multi-$B”; “Production”; Raytheon; USAF/USN missile engineering,nan,nan,nan,Raytheon,Weapon Systems,nan,"User line identifying Raytheon, AMRAAM, multi-$B, production; detailed contract IDs and lot breakdown not present → specific financials/vehicles remain high-level",Missile engineers; systems engineers; guidance and control engineers; hardware/electronics engineers; test engineers; production engineering staff; configuration and quality engineers,W31P4Q15C0022,AMRAAM,Medium,2.0,,,Missile engineers; systems engineers; guidance and control engineers; hardware/electronics engineers; test engineers; production engineering staff; configuration and quality engineers,2014-12-19,2025-05-31,2025-05-31,,"$5,608,431,752.51","ANDOVER, MASSACHUSETTS",336414,1425,XSV6AZJ6SDJ7,RAYTHEON COMPANY,W6QK ACC-RSA (Department of the Army),NONE,2014-12-19,Guided Missile and Space Vehicle Manufacturing,,,,,,,,No Match
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,nan,"Secret, TS/SCI",Medium,nan,nan,"Aegis ashore and afloat sites; e.g., Aurora CO; Huntsville AL; shipyards",ABMS,nan,nan,nan,Lockheed Martin,Professional Services,nan,Multiple (SAIC supports parts as SE&I / integration),Advanced Battle Management System,N0001917C0001,Aegis,Medium,1.0,,,Advanced Battle Management System,2017-11-17,2031-03-31,2031-03-31,"$889,068,000.00","$35,135,514,910.20","FORT WORTH, TEXAS",336411,1510,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),NONE,2017-04-28,Aircraft Manufacturing,,,,,,,,No Match
AF National Capital Region IT Support (AFNCR),AFNCR IT,Air Force,nan,Secret,Medium,$450M,nan,Pentagon; Joint Base Andrews (JBA),"“AFNCR IT”, “Pentagon/JBA”, “desktop/net ops”, “844th CG”",nan,nan,nan,Leidos (historical incumbent),nan,nan,Derived from AFNCR/844th CG Leidos support notes in your files,Desktop support; network operations; service desk; infrastructure techs; VIP support,HHSN261200800001E,AFNCR IT,Low,0.0,,,Desktop support; network operations; service desk; infrastructure techs; VIP support,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,nan,"Secret, TS/SCI",Medium,nan,nan,nan,“ISSO/ISSM – SCORPION… interviews (10/23–10/24)”; AFCENT cyber task; RMF/ISSO/ISSM focus; SCORPION program codename,nan,nan,nan,CACI,Cyber,nan,nan,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff,FA882316C0004,SCORPION,Medium,2.0,,,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff,2016-06-13,2025-12-09,2025-12-09,,"$600,725,818.08","COLORADO SPRINGS, COLORADO",517410,R425,L2TTR2QRV8H9,"CACI NSS, LLC",FA8823  SUSTAINMENT MCPNT SSC/PKL (Department of the Air Force),NONE,2016-06-13,Satellite Telecommunications,,,,,,,,No Match
Air Force Advanced Battle Management System,ABMS,Air Force,nan,"Secret, Top Secret",Medium,nan,nan,"Eglin AFB, FL; Hanscom AFB, MA","Various (e.g., AFA Events)","CACI, Raytheon",nan,nan,"Multiple: SAIC, Leidos, Booz Allen Hamilton",Space,nan,"Multiple (Leidos, SAIC, Northrop, etc. as exhibitors/sponsors)",Air & Space Cyber Conference Programs,36C10B21N10150056,ABMS,Medium,1.0,,,Air & Space Cyber Conference Programs,2021-01-08,2025-04-15,2026-01-07,"$1,599,244.92","$1,139,008,033.13","HERNDON, VIRGINIA",541512,DA01,GLGMWJ8EVMR9,LIBERTY IT SOLUTIONS LLC,TECHNOLOGY ACQUISITION CENTER NJ (36C10B) (Department of Veterans Affairs),None,2021-01-07,Computer Systems Design Services,,,,,,,,No Match
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,nan,"Secret, TS/SCI",Medium,$1B,nan,San Antonio TX; Colorado Springs CO; remote DevSecOps hubs,"“Platform One,” “Cloud One,” “Zero Trust,” “DevSecOps,” “Agile Software Factory”",nan,nan,nan,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Cyber,nan,Prime TS BD Intelligence Automation doc (L140–L160),DevSecOps engineers; software developers; cloud engineers; Zero Trust engineers; Agile software factory personnel,FA882316C0004,Platform One / Cyber Portfolio,High,5.0,Cloud; Cybersecurity,Software Development,DevSecOps engineers; software developers; cloud engineers; Zero Trust engineers; Agile software factory personnel,2016-06-13,2025-12-09,2025-12-09,,"$600,725,818.08","COLORADO SPRINGS, COLORADO",517410,R425,L2TTR2QRV8H9,"CACI NSS, LLC",FA8823  SUSTAINMENT MCPNT SSC/PKL (Department of the Air Force),NONE,2016-06-13,Satellite Telecommunications,,,,,,,,No Match
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,nan,Secret,Medium,nan,nan,AFLCMC (multiple program offices),“Geospatial systems”; “AFGIS (LM)”,nan,nan,nan,Lockheed Martin,Intel,nan,Appears in BD automation sources,GIS engineers; geospatial analysts; systems integrators,N0001902C3002,AFGIS (LM),Medium,2.0,,,GIS engineers; geospatial analysts; systems integrators,2001-10-26,2022-12-16,2022-12-16,,"$34,132,618,954.26","FORT WORTH, TEXAS",336411,AC15,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION, (),NONE,2001-10-26,Aircraft Manufacturing,True,,,,,,,No Match
