Prime,Program,Contract_Value,Placements,Revenue_Est,Call_Mentions,Gap_Status,ZoomInfo_Priority,Key_Locations,Recommended_Titles,Notes
CACI,CAMMO,$446M,0,$0,0,CRITICAL_GAP,1,Colorado Springs CO; Schriever SFB,Program Manager; Site Lead; Staffing Manager,AF Satellite Control Network
CACI,EUCOM/AFRICOM IT,$1.3B,0,$0,0,CRITICAL_GAP,1,Stuttgart DE; Reston VA HQ,International Staffing Manager; OCONUS PM,60+ OCONUS sites
CACI,DISA ENCORE III Cyber,$17.5B IDIQ,0,$0,0,CRITICAL_GAP,1,Fort Meade MD; Scott AFB IL,Cyber PM; DevSecOps Lead; Staffing Manager,Massive IDIQ opportunity
CACI,AFCENT SCORPION,Unknown,2,$300K,1,MINIMAL,3,CENTCOM sites,ISSO/ISSM Lead; Site Manager,Cyber task
CACI,Army BIM,$500M,2,$300K,0,MINIMAL,3,Secret-TS/SCI sites,Network Engineer Lead; PM,Infrastructure modernization
CACI,DCGS (Gap Program),Unknown,0,$0,71,GAP_LOW_TRACTION,1,San Diego CA; Langley AFB,VP above Linda Nichols; Division Director,Needs escalation approach
Lockheed Martin,PAC-3 MSE,$9.8B,0,$0,0,CRITICAL_GAP,1,Grand Prairie TX; Camden AR; Huntsville AL,Missiles PM; Site Lead; Staffing Manager,Missile engineering
Lockheed Martin,C2BMC,$Multi-B,1,$150K,0,MINIMAL,2,Huntsville AL; Schriever SFB,C2 Program Manager; Software Lead,Command and control
Lockheed Martin,F-35 Sustainment,$Multi-B,0,$0,0,CRITICAL_GAP,1,Global F-35 bases,Sustainment PM; Logistics Lead; Staffing,ALIS/ODIN support
Lockheed Martin,Aegis Combat System,$Multi-B,0,$0,0,CRITICAL_GAP,1,Dahlgren VA; Moorestown NJ,Combat System PM; Integration Lead,Navy program
Northrop Grumman,GBSD/Sentinel,$13.3B,3,$500K,327,HIGH_GAP,1,Roy UT; Hill AFB UT; Ogden UT; CO Springs,GBSD PM; MBSE Lead; Cyber ISSO; Staffing,LOSING CONTRACTORS TO FTE
Northrop Grumman,RUSHMORE,Classified,0,$0,0,CRITICAL_GAP,2,Aurora CO (Buckley SFB),Space PM; Java SW Lead; Site Manager,TS/SCI Space ops
