program_name,acronym,customer_agency,prime_contractor_name,piid,contract_description,total_contract_value,period_of_performance,base_pop,option_pop,recompete_date,period_start,period_end,ultimate_completion,clearance_requirements,key_locations,task_order_locations,functional_locations,performance_location,keywords_signals,subcontractor_count,subawards_total,subawards_count,typical_roles,functional_areas,job_titles,org_hierarchy,task_orders,functional_teams,required_skills,tech_stack,technical_stack,naics_code,naics_description,psc_code,psc_description,contract_vehicle_type,contract_vehicle,using_office,funding_office,total_value,base_and_options,obligated,prime_uei,prime_legal_name,award_date,fiscal_year,date_signed,prime_poc_name,prime_poc_email,prime_poc_phone,govt_poc_name,govt_poc_email,set_aside,bd_priority,confidence_level,pts_involvement,source_evidence,match_confidence,match_score,data_source,enrichment_date,subaward_count
16th Air Force Mission IT Support,16AF Mission IT,Air Force,ManTech,FA807519FA029,16th Air Force Mission IT Support,$261M,2019-08-29 to 2024-09-30,,,3/30/2025,8/29/2019,9/30/2024,9/30/2024,"Secret, TS/SCI",Lackland TX; Eglin/Tyndall FL; Nellis NV; Hill UT,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Lackland TX; Eglin/Tyndall FL; Nellis NV; Hill UT, QUANTICO, VIRGINIA",Multi-base coverage,,,,"Mission help desk, Software support techs, Cyber ops, EW techs",,"Mission help desk, Software support techs, Cyber ops, EW techs",[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AZ12,TRUE,,,FA8075  774 ESS (Department of the Air Force),,$261M,"$321,513,710.00 ","$316,952,144.94 ",V9KKND8S1KJ3,MANTECH TSG-2 JOINT VENTURE,8/29/2019,,8/29/2019,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
53rd Air Wing IT/EW Support,53rd Air Wing,Air Force,"SAIC / Leidos (indicative, not confirmed)",FA877319FA023,53rd Air Wing IT/EW Support,,2019-04-28 to 2025-11-27,,,1/27/2027,4/28/2019,11/27/2025,7/27/2026,"Secret, TS/SCI","Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, Test & Evaluation)",[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, Test & Evaluation), SAN ANTONIO, TEXAS","“AF EW/cyber”, “53rd Wing”, “IT/EW support”, “test & evaluation”, “Eglin/Nellis/Hill”, “weapon system EW”, “operational test”, “cyber test infrastructure”",,,,Cybersecurity engineers; EW engineers; Spectrum operations; Software test engineers; Range IT/mission support techs; Data analysts; Systems engineers (EW/cyber test); Network engineers,,Cybersecurity engineers; EW engineers; Spectrum operations; Software test engineers; Range IT/mission support techs; Data analysts; Systems engineers (EW/cyber test); Network engineers,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541330,Engineering Services,R425,,,,FA8773 ACC 38 CONS (Department of the Air Force),,"$40,554,571.08 ","$25,546,891.00 ","$40,554,571.08 ",K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,3/7/2019,,3/7/2019,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,Medium,Medium,Target,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),FA251822F0034,Advanced Battle Management System,,2022-06-27 to 2026-06-28,,,12/28/2027,6/27/2022,6/28/2026,6/28/2027,"Secret, Top Secret","Eglin AFB, FL; Hanscom AFB, MA",[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Eglin AFB, FL; Hanscom AFB, MA, COLORADO SPRINGS, COLORADO",FVL / LRPF / AMD / NGCV / Network / Soldier,,,,AUSA Modernization Portfolios (aggregate),Network Administration,AUSA Modernization Portfolios (aggregate),[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,Computer Systems Design Services,R425,,,MULTIPLE CONTRACTS,FA2518  USSF SPOC/SAIO (Department of the Air Force),,"$2,893,647.82 ","$694,278.73 ","$2,893,647.82 ",EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",6/27/2022,,6/27/2022,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],8A,Medium,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,Raytheon,W31P4Q15C0022,Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,Multi-$B,2014-12-19 to 2025-05-31,,,11/30/2025,12/19/2014,5/31/2025,5/31/2025,"Secret, Top Secret",Tucson AZ (Raytheon missile facilities); additional supplier sites across U.S. and allied nations,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Tucson AZ (Raytheon missile facilities); additional supplier sites across U.S. and allied nations, ANDOVER, MASSACHUSETTS",“AMRAAM”; “Multi-$B”; “Production”; Raytheon; USAF/USN missile engineering,,,,Missile engineers; systems engineers; guidance and control engineers; hardware/electronics engineers; test engineers; production engineering staff; configuration and quality engineers,,Missile engineers; systems engineers; guidance and control engineers; hardware/electronics engineers; test engineers; production engineering staff; configuration and quality engineers,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],336414,Guided Missile and Space Vehicle Manufacturing,1425,,,,W6QK ACC-RSA (Department of the Army),,Multi-$B,,"$5,608,431,752.51 ",XSV6AZJ6SDJ7,RAYTHEON COMPANY,12/19/2014,,12/19/2014,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,N0001917C0001,Aegis Ballistic Missile Defense / Aegis Program,,2017-11-17 to 2031-03-31,,,9/30/2031,11/17/2017,3/31/2031,3/31/2031,"Secret, TS/SCI","Aegis ashore and afloat sites; e.g., Aurora CO; Huntsville AL; shipyards",[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Aegis ashore and afloat sites; e.g., Aurora CO; Huntsville AL; shipyards, FORT WORTH, TEXAS",ABMS,,,,Advanced Battle Management System,,Advanced Battle Management System,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],336411,Aircraft Manufacturing,1510,,,,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),,"$35,135,514,910.20 ","$889,068,000.00 ","$35,135,514,910.20 ",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,4/28/2017,,4/28/2017,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
AF National Capital Region IT Support (AFNCR),AFNCR IT,Air Force,Leidos (historical incumbent),HHSN261200800001E,AF National Capital Region IT Support (AFNCR),$450M,2008-09-26 to 2024-09-06,,,3/6/2025,9/26/2008,9/6/2024,9/6/2024,Secret,Pentagon; Joint Base Andrews (JBA),[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Pentagon; Joint Base Andrews (JBA), FREDERICK, MARYLAND","“AFNCR IT”, “Pentagon/JBA”, “desktop/net ops”, “844th CG”",,,,Desktop support; network operations; service desk; infrastructure techs; VIP support,,Desktop support; network operations; service desk; infrastructure techs; VIP support,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],561210,Facilities Support Services,M181,,,, (),,$450M,"$1,321,327,661.00 ","$4,813,063,024.90 ",HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,9/24/2008,,9/24/2008,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Low,0,Enriched V4,1/20/2026,
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,CACI,FA882316C0004,AFCENT SCORPION Cyber Task (ISSO/ISSM Support),,2016-06-13 to 2025-12-09,,,6/9/2026,6/13/2016,12/9/2025,12/9/2025,"Secret, TS/SCI",,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, COLORADO SPRINGS, COLORADO",“ISSO/ISSM – SCORPION… interviews (10/23–10/24)”; AFCENT cyber task; RMF/ISSO/ISSM focus; SCORPION program codename,,,,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff,,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],517410,Satellite Telecommunications,R425,,,,FA8823  SUSTAINMENT MCPNT SSC/PKL (Department of the Air Force),,"$600,725,818.08 ",,"$600,725,818.08 ",L2TTR2QRV8H9,"CACI NSS, LLC",6/13/2016,,6/13/2016,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton",36C10B21N10150056,Air Force Advanced Battle Management System,,2021-01-08 to 2025-04-15,,,7/7/2026,1/8/2021,4/15/2025,1/7/2026,"Secret, Top Secret","Eglin AFB, FL; Hanscom AFB, MA",[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Eglin AFB, FL; Hanscom AFB, MA, HERNDON, VIRGINIA","Various (e.g., AFA Events); HIGH SUB SPEND: 110.8M in subawards",34,110834704.9,,Air & Space Cyber Conference Programs,,Air & Space Cyber Conference Programs,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,Computer Systems Design Services,DA01,,,,TECHNOLOGY ACQUISITION CENTER NJ (36C10B) (Department of Veterans Affairs),,"$1,139,008,033.13 ","$1,599,244.92 ","$1,139,008,033.13 ",GLGMWJ8EVMR9,LIBERTY IT SOLUTIONS LLC,1/7/2021,,1/7/2021,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,75
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,Lockheed Martin,N0001902C3002,Air Force GIS Program (Lockheed Martin),,2001-10-26 to 2022-12-16,,,6/16/2023,10/26/2001,12/16/2022,12/16/2022,Secret,AFLCMC (multiple program offices),[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"AFLCMC (multiple program offices), FORT WORTH, TEXAS",“Geospatial systems”; “AFGIS (LM)”,,,,GIS engineers; geospatial analysts; systems integrators,,GIS engineers; geospatial analysts; systems integrators,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],336411,Aircraft Manufacturing,AC15,TRUE,,, (),,"$34,132,618,954.26 ",,"$34,132,618,954.26 ",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,10/26/2001,,10/26/2001,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
Air Force Platform One / DevSecOps Initiative,Platform One,Air Force,USAF (Internal),,Air Force Platform One / DevSecOps Initiative,,to,,,,,,,"Secret, Top Secret",San Antonio TX; Colorado Springs CO,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"San Antonio TX; Colorado Springs CO, nan","“Platform One,” “Zero Trust,” “DevSecOps”",,,,DevSecOps engineers; cloud engineers; CI/CD architects,,DevSecOps engineers; cloud engineers; CI/CD architects,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],Cybersecurity,[Phase 2/3 - Not Available],,,,,,AGILE SOFTWARE / CLOUD / DEVSECOPS,,,,,,,,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,Medium,Medium,Target,"prime_contractor_name, customer_agency",,,Enriched V4,1/20/2026,
