Priority,Program,Prime,Agency,Location,Skill_Need,Clearance,Contract_Value,Our_Placements,Pitch_Points,Labor_Gap_Opener,Labor_Solution_Pitch
1,I2TS4,GDIT,Army,"Ft. Belvoir, VA",TS/SCI Engineers,TS/SCI,$4.5B,489,"We have 489 placements with GDIT including I2TS4 experience supporting Army","Looking for TS/SCI Engineers with TS/SCI clearance in Ft. Belvoir VA?","We have pre-vetted TS/SCI Engineers with TS/SCI clearance ready to interview"
2,I2TS4,GDIT,Army,"Ft. Bragg, NC",Intel Analysts,TS/SCI,$4.5B,489,"489 GDIT placements - proven Army Intel delivery","Need Intel Analysts with TS/SCI at Ft. Bragg?","Our TS/SCI Intel Analysts are ready for interviews this week"
3,INSCOM,GDIT,Army Intelligence,"Ft. Belvoir, VA",SIGINT,TS/SCI with Poly,$2.1B,489,"Strong GDIT relationship with 489 placements on Army Intelligence programs","SIGINT specialists with poly are hard to find - we have them","Pre-vetted poly-cleared SIGINT pros ready for Ft. Belvoir"
4,INSCOM,GDIT,Army Intelligence,"Ft. Meade, MD",Cybersecurity,TS/SCI with Poly,$2.1B,489,"Proven Army Intel support through GDIT partnership","Poly-cleared cyber talent pipeline for INSCOM?","Our cyber bench includes poly-cleared specialists for Ft. Meade"
5,NGEN,Leidos,Navy,"San Diego, CA",Network Engineers,Secret to TS/SCI,$11.5B,989,"989 placements with Leidos - NGEN transport experts","Navy network engineering gaps in San Diego?","Cleared network engineers ready for NGEN San Diego"
6,NGEN,Leidos,Navy,"Norfolk, VA",Cybersecurity,Secret to TS/SCI,$11.5B,989,"Largest Leidos supplier with 989 placements","Norfolk cyber needs for NGEN?","Pre-vetted cleared cyber analysts for Norfolk"
7,MCEN,Leidos,Army,"Ft. Belvoir, VA",Systems Engineers,Secret to TS/SCI,$2.8B,989,"989 Leidos placements including MCEN systems work","Systems engineering gaps on MCEN?","Cleared SE professionals ready for Ft. Belvoir"
8,MCEN,Leidos,Army,"Huntsville, AL",DevSecOps,Secret to TS/SCI,$2.8B,989,"Strong Leidos relationship supporting Army programs","DevSecOps talent for Huntsville MCEN?","AWS/DevSecOps cleared specialists available"
9,DCCO,Peraton,DCSA,"Quantico, VA",Background Investigators,Secret to TS,$1.5B,305,"305 Peraton placements with DCCO BI experience","Background investigator staffing challenges?","DCCO-experienced investigators ready for Quantico"
10,CMS,Peraton,CMS/HHS,"Baltimore, MD",Healthcare IT,Public Trust to Secret,$2B,305,"Peraton healthcare IT delivery track record","Healthcare IT modernization needs?","Java/Cloud healthcare IT specialists available"
11,DES,Leidos,DoD/Various,"Arlington, VA",Digital Engineers,Secret to TS/SCI,$1.2B,989,"989 Leidos placements supporting DoD programs","Digital engineering and MBSE needs?","Pre-vetted digital engineers for DES Arlington"
12,Azure_Gov,Microsoft,DoD/IC,"DC Metro",Azure Architects,Secret to TS/SCI,$10B+,244,"244 Microsoft placements - Azure Gov experts","Azure Government cleared architects?","Certified Azure Gov architects with clearances"
13,GSMO,Leidos,Army,"Ft. Meade, MD",Satellite Engineers,TS/SCI,$850M,989,"Leidos satellite communications experience","Satellite/RF engineering needs for GSMO?","Cleared sat comm engineers available"
