assigned_to,roster_acronym,matched_program,program_full_name,prime_contractor,piid,contract_value,agency,clearance,locations,typical_roles,naics_code,pop_end,status,notes,data_source
Colin,BIM,BIM TO2,Army Backbone Infrastructure Modernization TO2,CACI,W15QKN15C0049,$3M,Army,Secret,Secret → TS/SCI,“CACI BIM TO2 Wireless Network Engineer – OCONUS”,541511.0,2025-06-02,Established,Army network modernization,MASTER
Colin,BICES,BICES-X,Battlefield Info Collection & Exploitation System,CACI,47QFRA24F0005,"$681,999,277.86",DIA,TS/SCI,Offutt AFB NE; Stuttgart Germany,Network engineers; sysadmins; cyber analysts,541512.0,2026-04-30,Established,Mission Partner Environment,MASTER
Colin,AFCENT,SCORPION,AFCENT SCORPION Cyber Task (ISSO/ISSM),CACI,FA882316C0004,"$600,725,818.08",Air Force,"Secret, TS/SCI",,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff,517410.0,2025-12-09,Established,AFCENT NOSC cyber ISSO/ISSM,MASTER
Colin,VMOD,VMOD,MPCO VMOD (Voice Modernization),CACI (indicative),W15QKN15C0049,$382M,Army,Secret,CONUS Army posts,Voice engineers; telecom modernization,541511,2025-06-02,Established,Army voice modernization - CACI,TANGO
Colin,GENMOD,GENMOD,GENMOD / VMOD (Network Modernization),CACI,W15QKN15C0049,$526M,Army,Secret,Pacific + CONUS,Network installers; voice; cyber,541511,2025-06-02,New Add,Army network modernization - CACI,TANGO
Kevin,NGEN,NGEN-R,NGEN-R — Enterprise Network Program,Leidos,HHSN261200800001E,$7.7B,Navy,Secret,Norfolk; San Diego; global Navy/USMC,Help desk; field tech; network admin,561210,2024-09-06,Established,NGEN-R SMIT - Navy enterprise IT,TANGO
Kevin,DES,DES,Defense Enclave Services,Leidos,HHSN261200800001E,$11.5B,DoD,Secret,Fort Belvoir VA (HQ),Systems engineers; IT support; service desk; NOC staff,561210,2024-09-06,Established,DISA enterprise IT consolidation,TANGO
Kevin,I3TS,I3TS,DTRA Integrated IT Support Services,Leidos,70T04019C9DAP3006,$205M,DoD,"Secret, Top Secret",Fort Belvoir; Kirtland AFB,IT; cyber; ZTA specialists,811219.0,2025-03-31,Established,DTRA IT modernization & cyber,MASTER
Justin,Horizon II,HORIZON II,Horizon II - SAIC Space & Intel Support,SAIC,,$950M+,Space Force / NRO,,,,,,Established,SAIC space & intel enterprise IT,MANUAL
Justin,EDIS,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",SAIC,FA251822F0034,$655M,Space Force,"Secret, Top Secret",Los Angeles AFB; Colorado Springs; Huntsville,Systems/software engineers; cyber engineers; space-ground integration,541512,2027-06-28,Established,SAIC Space Force engineering,TANGO
