Job Title,Location,Clearance,Program,Match Score,Match Confidence,Job URL,BD Talking Points,Target Contact Titles,LinkedIn Search
EVMS Lead Program Control Consultant,"Herndon, VA",,Air Force Advanced Battle Management System,10,High,https://www.apexsystems.com/job/3014010_usa/evms-lead-program-control-consultant,"PTS has placed cleared talent with SAIC across multiple programs. For Air Force Advanced Battle Mana, we have bench candidates with .","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Herndon"
Sr Business Systems Analyst (PPBE),"Washington, VA",,HHS Advanced Secure Data Repository,7,Medium,https://www.apexsystems.com/job/3015483_usa/sr-business-systems-analyst-ppbe,"PTS has placed cleared talent with SAIC across multiple programs. For HHS Advanced Secure Data Repos, we have bench candidates with .","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Washington"
Install Specialist / IT Certified Professional,"Charlottesville, VA",TS/SCI Clearance level,Project Convergence (JADC2 Experiments),12,High,https://www.apexsystems.com/job/3009673_usa/install-specialist--it-certified-professional,"PTS has placed cleared talent with SAIC across multiple programs. For Project Convergence (JADC2 Exp, we have bench candidates with TS/SCI Clearance level.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Charlottesville"
Microsoft Copilot Studio AI SME,"Milford Mill, MD",,PRISM Support Services (Consolidated),14,High,https://www.apexsystems.com/job/3015012_usa/microsoft-copilot-studio-ai-sme,"PTS has placed cleared talent with SAIC across multiple programs. For PRISM Support Services (Consol, we have bench candidates with .","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Milford Mill"
Sr Elastic Engineer (EDR/Defend Focus),"Colorado Springs, CO",ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS,BICES Defense Intelligence Agency Variant,14,High,https://www.apexsystems.com/job/3017651_usa/sr-elastic-engineer-edrdefend-focus,"PTS has placed cleared talent with SAIC across multiple programs. For BICES Defense Intelligence Age, we have bench candidates with ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Colorado Springs"
VDI Systems Administrator,"Savannah, GA",TS/SCI,Advanced Battle Management System,6,Medium,https://www.apexsystems.com/job/2091995_usa/vdi-systems-administrator,"PTS has placed cleared talent with SAIC across multiple programs. For Advanced Battle Management Sys, we have bench candidates with TS/SCI.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Savannah"
IT Specialist Senior,"Quantico, VA",,Air Force Advanced Battle Management System,9,Medium,https://www.apexsystems.com/job/3012188_usa/it-specialist-senior,"PTS has placed cleared talent with SAIC across multiple programs. For Air Force Advanced Battle Mana, we have bench candidates with .","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Quantico"
Cloud Engineer,"Fayetteville, NC",active Secret Clearance eligible for upgrade.,CMS Enterprise Cloud Infrastructure Services,6,Medium,https://www.apexsystems.com/job/3012821_usa/cloud-engineer,"PTS has placed cleared talent with SAIC across multiple programs. For CMS Enterprise Cloud Infrastru, we have bench candidates with active Secret Clearance eligible for upgrade..","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Fayetteville"
PRICING ANALYST - SECRET CLEARANCE,"Colorado Springs, Colorado",Secret,Advanced Battle Management System,14,High,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/pricing-analyst-secret-clearance/job-483185/,"PTS has placed cleared talent with SAIC across multiple programs. For Advanced Battle Management Sys, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Colorado Springs"
FPGA DESIGN ENGINEER - SECRET CLEARANCE,"Plymouth, Minnesota",Secret,"EDIS – Engineering, Development, Integration & Sustainment",6,Medium,https://insightglobal.com/jobs/find_a_job/minnesota/plymouth/fpga-design-engineer-secret-clearance/job-482039/,"PTS has placed cleared talent with SAIC across multiple programs. For EDIS – Engineering, Developmen, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Plymouth"
MODEL BASED DEFINITION ENGINEER,"Middletown, Connecticut",,Army Enterprise Service Management Framework,7,Medium,https://insightglobal.com/jobs/find_a_job/connecticut/middletown/model-based-definition-engineer/job-468846/,"PTS has placed cleared talent with SAIC across multiple programs. For Army Enterprise Service Manage, we have bench candidates with .","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Middletown"
ESS HELPDESK TECHNICIAN,"Braddock, Virginia",Secret,Air Force Advanced Battle Management System,7,Medium,https://insightglobal.com/jobs/find_a_job/virginia/braddock/ess-helpdesk-technician/job-451448/,"PTS has placed cleared talent with SAIC across multiple programs. For Air Force Advanced Battle Mana, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Braddock"
SECRET FULL STACK DEVELOPER,"Dahlgren, Virginia",Secret,CMS Enterprise Cloud Infrastructure Services,7,Medium,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-full-stack-developer/job-482086/,"PTS has placed cleared talent with SAIC across multiple programs. For CMS Enterprise Cloud Infrastru, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Dahlgren"
BUYER'S TECHNICAL WRITER - SECRET,"Colorado Springs, Colorado",Secret,Army Enterprise Service Management Framework,12,High,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/buyers-technical-writer-secret/job-483609/,"PTS has placed cleared talent with SAIC across multiple programs. For Army Enterprise Service Manage, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Colorado Springs"
SECRET SENIOR ELASTIC ENGINEER,"Colorado Springs, Colorado",Top Secret,Advanced Battle Management System,12,High,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-senior-elastic-engineer/job-483170/,"PTS has placed cleared talent with SAIC across multiple programs. For Advanced Battle Management Sys, we have bench candidates with Top Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Colorado Springs"
SECRET NETWORK ADMINISTRATOR II (DAYS),"Montgomery, Alabama",Secret,Project Convergence (JADC2 Experiments),10,High,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-days-/job-479729/,"PTS has placed cleared talent with SAIC across multiple programs. For Project Convergence (JADC2 Exp, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Montgomery"
SALES ENGINEER,"Colorado Springs, Colorado",,Advanced Battle Management System,10,High,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/sales-engineer/job-239366/,"PTS has placed cleared talent with SAIC across multiple programs. For Advanced Battle Management Sys, we have bench candidates with .","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Colorado Springs"
SECRET WINDOWS SYSTEMS ADMINISTRATOR,"Dahlgren, Virginia",Secret,Air Force Advanced Battle Management System,9,Medium,https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-windows-systems-administrator/job-480429/,"PTS has placed cleared talent with SAIC across multiple programs. For Air Force Advanced Battle Mana, we have bench candidates with Secret.","Program Manager, Staffing Manager, HR Business Partner, Recruiting Lead","""Program Manager"" OR ""Staffing Manager"" AND SAIC AND Dahlgren"
