Priority,Job Title,Program,Prime,Location,Clearance,Match Score,Personalized Intro,Value Proposition,Objection: Process,Objection: Send Email,Objection: Vendor List,HUMINT Questions,Follow-up Action,Job URL
HIGH,SECRET DATABASE ENGINEER,NARSIL – Advanced Research for System Intelligence,Peraton,"Herndon, Virginia",Secret,18,"Hi [Name], I'm reaching out because I noticed you're supporting NARSIL – Advanced Research for System In. PTS specializes in placing Secret talent for programs exactly like this.","We have bench candidates in Herndon with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for SECRET DATABASE ENGINEER,https://insightglobal.com/jobs/find_a_job/virginia/herndon/secret-database-engineer/job-479699/
HIGH,SCHEDULER,"EDIS – Engineering, Development, Integration & Sus",SAIC,"Colorado Springs, Colorado",TS/SCI,16,"Hi [Name], I'm reaching out because I noticed you're supporting EDIS – Engineering, Development, Integra. PTS specializes in placing TS/SCI talent for programs exactly like this.","We have bench candidates in Colorado Springs with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for SCHEDULER,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/scheduler/job-479781/
HIGH,PRE-DEPLOYMENT MANAGER,DIA Information Systems Engineering Office,Leidos,"Frederick, Maryland",,16,"Hi [Name], I'm reaching out because I noticed you're supporting DIA Information Systems Engineering Offi. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Frederick with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for PRE-DEPLOYMENT MANAGER,https://insightglobal.com/jobs/find_a_job/maryland/frederick/pre-deployment-manager/job-482779/
HIGH,Oracle DBA,NASA SENSE (Space Comms & Tracking),Peraton,"Washington, VA",,15,"Hi [Name], I'm reaching out because I noticed you're supporting NASA SENSE (Space Comms & Tracking). PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Washington with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Oracle DBA,https://www.apexsystems.com/job/3013298_usa/oracle-dba
HIGH,Microsoft Copilot Studio AI SME,PRISM Support Services (Consolidated),"11 MA-IDIQ primes (incl. CTC, ","Milford Mill, MD",,14,"Hi [Name], I'm reaching out because I noticed you're supporting PRISM Support Services (Consolidated). PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Milford Mill with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Microsoft Copilot Studio AI SME,https://www.apexsystems.com/job/3015012_usa/microsoft-copilot-studio-ai-sme
HIGH,Sr Elastic Engineer (EDR/Defend Focus),BICES Defense Intelligence Agency Variant,CACI + Leidos + Peraton + SAIC,"Colorado Springs, CO",ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS,14,"Hi [Name], I'm reaching out because I noticed you're supporting BICES Defense Intelligence Agency Varian. PTS specializes in placing ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS talent for programs exactly like this.","We have bench candidates in Colorado Springs with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Sr Elastic Engineer (EDR/Defend Focus),https://www.apexsystems.com/job/3017651_usa/sr-elastic-engineer-edrdefend-focus
HIGH,Sr ISSE,Integrated Base Defense Security System,Leidos,"Reston, VA",,14,"Hi [Name], I'm reaching out because I noticed you're supporting Integrated Base Defense Security System. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Reston with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Sr ISSE,https://www.apexsystems.com/job/3012876_usa/sr-isse
HIGH,PRICING ANALYST - SECRET CLEARANCE,Advanced Battle Management System,Multi (SAIC supports parts),"Colorado Springs, Colorado",Secret,14,"Hi [Name], I'm reaching out because I noticed you're supporting Advanced Battle Management System. PTS specializes in placing Secret talent for programs exactly like this.","We have bench candidates in Colorado Springs with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for PRICING ANALYST - SECRET CLEARANCE,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/pricing-analyst-secret-clearance/job-483185/
HIGH,SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,SPICE (Space Payload Integration & Cyber Eng),SAIC / LinQuest (indicative),"Hill AFB, Utah",Secret,14,"Hi [Name], I'm reaching out because I noticed you're supporting SPICE (Space Payload Integration & Cyber. PTS specializes in placing Secret talent for programs exactly like this.","We have bench candidates in Hill AFB with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,https://insightglobal.com/jobs/find_a_job/utah/hill-afb/senior-nuclear-hardness-electrical-engineer/job-470335/
HIGH,DATA ENGINEER,MSS Smart Systems (Palantir contract),Palantir,"Norfolk, Virginia",Secret,14,"Hi [Name], I'm reaching out because I noticed you're supporting MSS Smart Systems (Palantir contract). PTS specializes in placing Secret talent for programs exactly like this.","We have bench candidates in Norfolk with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for DATA ENGINEER,https://insightglobal.com/jobs/find_a_job/virginia/norfolk/data-engineer/job-482299/
