Program,Agency,Location,Current Prime,Status,Opportunity Link,BD Action,PTS Relevance
GILE Services,INSCOM/Army,"Fort Belvoir, VA",CACI,Pre-Solicitation,https://sam.gov/opp/bec31df26dd0440081333198c1c6dd0b/view,Target CACI contacts at Fort Belvoir; position for teaming or direct hire,"HIGH - Intel IT support, cleared workforce"
TROJAN NetOps-2 (Network Operations Support),INSCOM G6/GISA,"Fort Belvoir, VA",TBD,RFI Posted,https://sam.gov/opp/f44d6f41803d4ff8881743a1f6270508/view,Respond to RFI immediately; build INSCOM G6 relationships,"CRITICAL - INSCOM network ops, TS/SCI cleared IT"
SSA ITSSC Recompete,Social Security Administration,Nationwide,Leidos/Accenture Federal,RFI Posted,https://sam.gov/opp/88225753ed674fa1a252545bdbc07632/view,Respond to RFI; connect with Leidos staffing leads,"HIGH - Enterprise IT, Public Trust workforce"
CBP Security Operations Support Services,CBP/DHS,"Washington, DC",TBD,Sources Sought,https://sam.gov/opp/b21b76ccc80b4da7aa8aef794087f983/view,Target CBP cyber program managers; leverage recent Leidos win,"HIGH - Cyber security ops, DHS cleared"
CBP Enterprise Business Mgmt Support Services 2.0,CBP/DHS,"Ashburn, VA",Multiple,Special Notice,https://sam.gov/opp/951e0908c1834063adfce360fa98265d/view,Target CBP program managers; leverage DHS relationships,"MEDIUM - Business systems, cleared IT"
DC3/AFOSI SETA II Support,Air Force,"Fort Washington, MD",TBD,Sources Sought,https://sam.gov/opp/820f1049043c4c6089f58a32d2bc2495/view,Connect with DC3 cyber contacts; cyber forensics talent,"HIGH - Cyber forensics, TS/SCI cleared"
DISA Defensive Cyber Ops PM Support,DISA,"Fort Belvoir, VA",TBD,Sources Sought,https://sam.gov/opp/254d770714e4422085fd9084650c3341/view,Target DISA cyber program managers,"HIGH - Cyber ops, cleared PMs"
Army Cyber Battle Lab Support,Army,"Fort Gordon, GA",TBD,Sources Sought,https://sam.gov/opp/b0a254d0992741ffabad3b61f6c5d07d/view,Target ARCYBER contacts; cyber experimentation talent,"HIGH - Cyber, Fort Gordon presence"
GMD FORTRESS (Ground-based Midcourse Defense),MDA,"Redstone Arsenal, AL",Boeing/Northrop/Raytheon,RFI Posted,https://sam.gov/opp/19289e53697241419b327ca1fdaa61a8/view,Target MDA PM contacts; missile defense engineers,"MEDIUM - Missile defense, Huntsville area"
COSMOS (Commercial/Military SATCOM Ops Support),USSF SPOC,"Colorado Springs, CO",TBD,Sources Sought,https://sam.gov/opp/2c355aed8c194689b741cdb6c5d2c47d/view,Target Space Force contacts; SATCOM operators,"HIGH - Space Force, Colorado Springs presence"
