Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Signed Date (FPDS),Contract Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Base Contract Value (FPDS),Base + Options Value (FPDS),Performance Location (FPDS),FPDS NAICS Code,FPDS PSC Code,NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
16th Air Force Mission IT Support,16AF Mission IT,Air Force,nan,"Secret, TS/SCI",High,$261M,nan,Lackland TX; Eglin/Tyndall FL; Nellis NV; Hill UT,Multi-base coverage,Specialty subs (EW/cyber),nan,nan,ManTech,Cyber,nan,"“$261M… multiple AF bases (Lackland, Nellis, Hill…)”","Mission help desk, Software support techs, Cyber ops, EW techs",FA807519FA029,16AF Mission IT,Medium,1.0,,,,,,,,,,,,,,,,,,,,,Not Queried
53rd Air Wing IT/EW Support,53rd Air Wing,Air Force,Medium,"Secret, TS/SCI",Medium,nan,nan,"Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, Test & Evaluation)","“AF EW/cyber”, “53rd Wing”, “IT/EW support”, “test & evaluation”, “Eglin/Nellis/Hill”, “weapon system EW”, “operational test”, “cyber test infrastructure”",nan,Target,nan,"SAIC / Leidos (indicative, not confirmed)",Cyber,nan,No explicit listing in files; derived from 53rd Wing (EW/cyber test) mission set + your field inputs,Cybersecurity engineers; EW engineers; Spectrum operations; Software test engineers; Range IT/mission support techs; Data analysts; Systems engineers (EW/cyber test); Network engineers,FA877319FA023,53rd Air Wing,Medium,2.0,,,,,,,,,,,,,,,,,,,,,Not Queried
Advanced Battle Management System,ABMS,Air Force,Medium,"Secret, Top Secret",Medium,nan,MULTIPLE CONTRACTS,"Eglin AFB, FL; Hanscom AFB, MA",FVL / LRPF / AMD / NGCV / Network / Soldier,"CACI, Raytheon",nan,nan,Multi (SAIC supports parts),Professional Services,nan,"Multiple primes (Lockheed, Raytheon, Northrop, BAE, GD, etc. depending on portfolio)",AUSA Modernization Portfolios (aggregate),FA251822F0034,ABMS,Medium,2.0,,,,,,,,,,,,,,,,,,,,,Not Queried
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,nan,"Secret, Top Secret",High,Multi-$B,nan,Tucson AZ (Raytheon missile facilities); additional supplier sites across U.S. and allied nations,“AMRAAM”; “Multi-$B”; “Production”; Raytheon; USAF/USN missile engineering,nan,nan,nan,Raytheon,Weapon Systems,nan,"User line identifying Raytheon, AMRAAM, multi-$B, production; detailed contract IDs and lot breakdown not present → specific financials/vehicles remain high-level",Missile engineers; systems engineers; guidance and control engineers; hardware/electronics engineers; test engineers; production engineering staff; configuration and quality engineers,W31P4Q15C0022,AMRAAM,Medium,2.0,,,,,,,,,,,,,,,,,,,,,Not Queried
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,nan,"Secret, TS/SCI",Medium,nan,nan,"Aegis ashore and afloat sites; e.g., Aurora CO; Huntsville AL; shipyards",ABMS,nan,nan,nan,Lockheed Martin,Professional Services,nan,Multiple (SAIC supports parts as SE&I / integration),Advanced Battle Management System,N0001917C0001,Aegis,Medium,1.0,,,,,,,,,,,,,,,,,,,,,Not Queried
AF National Capital Region IT Support (AFNCR),AFNCR IT,Air Force,nan,Secret,Medium,$450M,nan,Pentagon; Joint Base Andrews (JBA),"“AFNCR IT”, “Pentagon/JBA”, “desktop/net ops”, “844th CG”",nan,nan,nan,Leidos (historical incumbent),nan,nan,Derived from AFNCR/844th CG Leidos support notes in your files,Desktop support; network operations; service desk; infrastructure techs; VIP support,HHSN261200800001E,AFNCR IT,Low,0.0,,,,,,,,,,,,,,,,,,,,,Not Queried
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,nan,"Secret, TS/SCI",Medium,nan,nan,nan,“ISSO/ISSM – SCORPION… interviews (10/23–10/24)”; AFCENT cyber task; RMF/ISSO/ISSM focus; SCORPION program codename,nan,nan,nan,CACI,Cyber,nan,nan,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff,FA882316C0004,SCORPION,Medium,2.0,,,,,,,,,,,,,,,,,,,,,Not Queried
Air Force Advanced Battle Management System,ABMS,Air Force,nan,"Secret, Top Secret",Medium,nan,nan,"Eglin AFB, FL; Hanscom AFB, MA","Various (e.g., AFA Events)","CACI, Raytheon",nan,nan,"Multiple: SAIC, Leidos, Booz Allen Hamilton",Space,nan,"Multiple (Leidos, SAIC, Northrop, etc. as exhibitors/sponsors)",Air & Space Cyber Conference Programs,36C10B21N10150056,ABMS,Medium,1.0,,,,,,,,,,,,,,,,,,,,,Not Queried
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,nan,"Secret, TS/SCI",Medium,$1B,nan,San Antonio TX; Colorado Springs CO; remote DevSecOps hubs,"“Platform One,” “Cloud One,” “Zero Trust,” “DevSecOps,” “Agile Software Factory”",nan,nan,nan,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Cyber,nan,Prime TS BD Intelligence Automation doc (L140–L160),DevSecOps engineers; software developers; cloud engineers; Zero Trust engineers; Agile software factory personnel,FA882316C0004,Platform One / Cyber Portfolio,High,5.0,,,,,,,,,,,,,,,,,,,,,Not Queried
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,nan,Secret,Medium,nan,nan,AFLCMC (multiple program offices),“Geospatial systems”; “AFGIS (LM)”,nan,nan,nan,Lockheed Martin,Intel,nan,Appears in BD automation sources,GIS engineers; geospatial analysts; systems integrators,N0001902C3002,AFGIS (LM),Medium,2.0,,,,,,,,,,,,,,,,,,,,,Not Queried
