program_name,full_name,program_type,parent_organization,agency
ITES,Information Technology Enterprise Solutions,Contract Vehicle,Army,DoD
OASIS,One Acquisition Solution for Integrated Services,Contract Vehicle,GSA,GSA
Alliant,Alliant 2 GWAC,Contract Vehicle,GSA,GSA
CIO-SP3,Chief Information Officer-Solutions and Partners 3,Contract Vehicle,NIH,HHS
SeaPort,SeaPort Next Generation,Contract Vehicle,Navy,DoD
EAGLE,Enterprise Acquisition Gateway for Leading Edge Solutions,Contract Vehicle,DHS,DHS
SEWP,Solutions for Enterprise-Wide Procurement V,Contract Vehicle,NASA,NASA
JWCC,Joint Warfighting Cloud Capability,Contract Vehicle,DoD,DoD
DEOS,Defense Enterprise Office Solutions,Contract Vehicle,DoD,DoD
EIS,Enterprise Infrastructure Solutions,Contract Vehicle,GSA,GSA
F-35,Joint Strike Fighter Program,Weapons System,Air Force,DoD
B-21,B-21 Raider Bomber,Weapons System,Air Force,DoD
KC-46,KC-46 Pegasus Tanker,Weapons System,Air Force,DoD
GBSD,Ground Based Strategic Deterrent,Weapons System,Air Force,DoD
Sentinel,LGM-35A Sentinel ICBM,Weapons System,Air Force,DoD
AEGIS,AEGIS Combat System,Weapons System,Navy,DoD
SLS,Space Launch System,Space Program,NASA,NASA
JLTV,Joint Light Tactical Vehicle,Weapons System,Army,DoD
GPS OCX,GPS Next Generation Operational Control,Space Program,Space Force,DoD
VC-25B,Air Force One Replacement,Aircraft Program,Air Force,DoD
MQ-25,MQ-25 Stingray Tanker Drone,Weapons System,Navy,DoD
CH-53K,CH-53K King Stallion,Aircraft Program,Navy/Marines,DoD
V-22,V-22 Osprey,Aircraft Program,Navy/Marines,DoD
NGAD,Next Generation Air Dominance,Weapons System,Air Force,DoD
E-7,E-7 Wedgetail AEW&C,Aircraft Program,Air Force,DoD
Orion,Orion Spacecraft,Space Program,NASA,NASA
ABMS,Advanced Battle Management System,C4ISR,Air Force,DoD
JADC2,Joint All-Domain Command and Control,C4ISR,DoD,DoD
DIA,Defense Intelligence Agency,Intelligence Agency,DoD,DoD
NGA,National Geospatial-Intelligence Agency,Intelligence Agency,DoD,DoD
NSA,National Security Agency,Intelligence Agency,DoD,DoD
NRO,National Reconnaissance Office,Intelligence Agency,DoD,DoD
INSCOM,Intelligence and Security Command,Intelligence Command,Army,DoD
DISA,Defense Information Systems Agency,Defense Agency,DoD,DoD
DTRA,Defense Threat Reduction Agency,Defense Agency,DoD,DoD
MDA,Missile Defense Agency,Defense Agency,DoD,DoD
DARPA,Defense Advanced Research Projects Agency,Defense Agency,DoD,DoD
NASA,National Aeronautics and Space Administration,Civilian Agency,Executive Branch,NASA
SOCOM,Special Operations Command,Combatant Command,DoD,DoD
CENTCOM,Central Command,Combatant Command,DoD,DoD
INDOPACOM,Indo-Pacific Command,Combatant Command,DoD,DoD
EUCOM,European Command,Combatant Command,DoD,DoD
AFRICOM,Africa Command,Combatant Command,DoD,DoD
NORTHCOM,Northern Command,Combatant Command,DoD,DoD
SOUTHCOM,Southern Command,Combatant Command,DoD,DoD
CYBERCOM,Cyber Command,Combatant Command,DoD,DoD
STRATCOM,Strategic Command,Combatant Command,DoD,DoD
TRANSCOM,Transportation Command,Combatant Command,DoD,DoD
SPACECOM,Space Command,Combatant Command,DoD,DoD
ECMA,Enterprise Cloud Management Agency,IT Program,Army,DoD
ECMO,Enterprise Cloud Management Office,IT Program,Army,DoD
Zero Trust,Zero Trust Architecture Initiative,Security Initiative,DoD,DoD
CMMC,Cybersecurity Maturity Model Certification,Security Initiative,DoD,DoD
