Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles
16th Air Force Mission IT Support,16AF Mission IT,Air Force,,"Secret, TS/SCI",High,$261M,,Lackland TX; Eglin/Tyndall FL; Nellis NV; Hill UT,Multi-base coverage,Specialty subs (EW/cyber),,,ManTech,Cyber,,"“$261M… multiple AF bases (Lackland, Nellis, Hill…)”","Mission help desk, Software support techs, Cyber ops, EW techs"
53rd Air Wing IT/EW Support,53rd Air Wing,Air Force,Medium,"Secret, TS/SCI",Medium,,,"Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, Test & Evaluation)","“AF EW/cyber”, “53rd Wing”, “IT/EW support”, “test & evaluation”, “Eglin/Nellis/Hill”, “weapon system EW”, “operational test”, “cyber test infrastructure”",,Target,,"SAIC / Leidos (indicative, not confirmed)",Cyber,,No explicit listing in files; derived from 53rd Wing (EW/cyber test) mission set + your field inputs,Cybersecurity engineers; EW engineers; Spectrum operations; Software test engineers; Range IT/mission support techs; Data analysts; Systems engineers (EW/cyber test); Network engineers
Advanced Battle Management System,ABMS,Air Force,Medium,"Secret, Top Secret",Medium,,MULTIPLE CONTRACTS,"Eglin AFB, FL; Hanscom AFB, MA",FVL / LRPF / AMD / NGCV / Network / Soldier,"CACI, Raytheon",None,,Multi (SAIC supports parts),Professional Services,,"Multiple primes (Lockheed, Raytheon, Northrop, BAE, GD, etc. depending on portfolio)",AUSA Modernization Portfolios (aggregate)
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,,"Secret, Top Secret",High,Multi-$B,,Tucson AZ (Raytheon missile facilities); additional supplier sites across U.S. and allied nations,“AMRAAM”; “Multi-$B”; “Production”; Raytheon; USAF/USN missile engineering,,,,Raytheon,Weapon Systems,,"User line identifying Raytheon, AMRAAM, multi-$B, production; detailed contract IDs and lot breakdown not present → specific financials/vehicles remain high-level",Missile engineers; systems engineers; guidance and control engineers; hardware/electronics engineers; test engineers; production engineering staff; configuration and quality engineers
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,,"Secret, TS/SCI",Medium,,,"Aegis ashore and afloat sites; e.g., Aurora CO; Huntsville AL; shipyards",ABMS,,,,Lockheed Martin,Professional Services,,Multiple (SAIC supports parts as SE&I / integration),Advanced Battle Management System
AF National Capital Region IT Support (AFNCR),AFNCR IT,Air Force,,Secret,Medium,$450M,,Pentagon; Joint Base Andrews (JBA),"“AFNCR IT”, “Pentagon/JBA”, “desktop/net ops”, “844th CG”",,,,Leidos (historical incumbent),,,Derived from AFNCR/844th CG Leidos support notes in your files,Desktop support; network operations; service desk; infrastructure techs; VIP support
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,,"Secret, TS/SCI",Medium,,,,“ISSO/ISSM – SCORPION… interviews (10/23–10/24)”; AFCENT cyber task; RMF/ISSO/ISSM focus; SCORPION program codename,,,,CACI,Cyber,,,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff
Air Force Advanced Battle Management System,ABMS,Air Force,,"Secret, Top Secret",Medium,,,"Eglin AFB, FL; Hanscom AFB, MA","Various (e.g., AFA Events)","CACI, Raytheon",,,"Multiple: SAIC, Leidos, Booz Allen Hamilton",Space,,"Multiple (Leidos, SAIC, Northrop, etc. as exhibitors/sponsors)",Air & Space Cyber Conference Programs
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,,"Secret, TS/SCI",Medium,$1B,,San Antonio TX; Colorado Springs CO; remote DevSecOps hubs,"“Platform One,” “Cloud One,” “Zero Trust,” “DevSecOps,” “Agile Software Factory”",,,,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Cyber,,Prime TS BD Intelligence Automation doc (L140–L160),DevSecOps engineers; software developers; cloud engineers; Zero Trust engineers; Agile software factory personnel
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,,Secret,Medium,,,AFLCMC (multiple program offices),“Geospatial systems”; “AFGIS (LM)”,,,,Lockheed Martin,Intel,,Appears in BD automation sources,GIS engineers; geospatial analysts; systems integrators
