File Name,Description,Drive Path,Engine,File Type,Integration Status,Last Updated,Priority
MStaff_LinkedInActivity.pdf,LinkedIn activity analysis for military staff,H:My DrivePrime TS BD Automation (BD IntelliRepo)Engine 3 – Org ChartProgram-Specific IntelMStaff_LinkedInActivity.pdf,Engine 3 - Org Chart,Intelligence Report,Live,,Medium
Engine_Placements_All_Final.csv,Final dataset of all engine placement records,H:My DrivePrime TS BD Automation (BD IntelliRepo)Engine 2 – Program MappingData (Placements)Engine_Placements_All_Final.csv,Engine 2 - Program Mapping,Data Export,Live,,High
ScraperEngine_Config.json,Main configuration file for scraper engine,H:My DrivePrime TS BD Automation (BD IntelliRepo)Engine 1 – ScraperConfigurationsScraperEngine_Config.json,Engine 1 - Scraper,Configuration,Live,,High
fix-drive-structure.ps1,PowerShell script for drive structure maintenance,H:My DrivePrime TS BD Automation (BD IntelliRepo)http://fix-drive-structure.ps1,Engine 1 - Scraper,Configuration,Live,,High
Jobs_Records_Full.xlsx,Complete export of scraped job records,H:My DrivePrime TS BD Automation (BD IntelliRepo)Engine 1 – ScraperData ExportsJobs_Records_Full.xlsx,Engine 1 - Scraper,Data Export,Live,,High
GBSD_Notebook.pdf,Intelligence notebook for GBSD program,H:My DrivePrime TS BD Automation (BD IntelliRepo)Engine 3 – Org ChartProgram-Specific IntelGBSD_Notebook.pdf,Engine 3 - Org Chart,Intelligence Report,Live,,High
Bullhorn_Contact_Extraction_Plan.docx,Plan for extracting contacts from Bullhorn system,H:My DrivePrime TS BD Automation (BD IntelliRepo)Engine 2 – Program MappingStrategy DocsBullhorn_Contact_Extraction_Plan.docx,Engine 2 - Program Mapping,Strategy Document,Live,,High
Coverage_Hubs.csv,Geographic coverage areas and hub definitions,H:My DrivePrime TS BD Automation (BD IntelliRepo)Engine 1 – ScraperConfigurationsCoverage_Hubs.csv,Engine 1 - Scraper,Configuration,Live,,Medium
Competitor_Job_Board_URLs.xlsx,URLs for competitor job board scraping targets,H:My DrivePrime TS BD Automation (BD IntelliRepo)Engine 1 – ScraperConfigurationsCompetitor_Job_Board_URLs.xlsx,Engine 1 - Scraper,Configuration,Live,,High
Drive_Snapshot.txt,Snapshot of drive structure and file listing,H:My DrivePrime TS BD Automation (BD IntelliRepo)Drive_Snapshot.txt,Engine 1 - Scraper,Configuration,Live,,Medium
Sales_Prospecting_Playbook.pdf,Master playbook for sales prospecting strategies,H:My DrivePrime TS BD Automation (BD IntelliRepo)Engine 4 – PlaybookMaster PlaybookSales_Prospecting_Playbook.pdf,Engine 4 - Playbook,Playbook,Live,,High
Outreach_Scripts_Collection.docx,Collection of outreach scripts and templates,H:My DrivePrime TS BD Automation (BD IntelliRepo)Engine 4 – PlaybookStrategy GuidesOutreach_Scripts_Collection.docx,Engine 4 - Playbook,Script Collection,Live,,Medium
BD_Priority_Scoring_Model.xlsx,Business development priority scoring model and specifications,H:My DrivePrime TS BD Automation (BD IntelliRepo)Engine 5 – ScoringDesign & SpecsBD_Priority_Scoring_Model.xlsx,Engine 5 - Scoring,Design Specs,Live,,High
