Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles
16th Air Force Mission IT Support,16AF Mission IT,Air Force,,"Secret, TS/SCI",High,$261M,,Lackland TX; Eglin/Tyndall FL; Nellis NV; Hill UT,Multi-base coverage,Specialty subs (EW/cyber),,,ManTech,Cyber,,"“$261M… multiple AF bases (Lackland, Nellis, Hill…)”","Mission help desk, Software support techs, Cyber ops, EW techs"
1st AF / CONR Base Operations & IT Services (Tyndall),CONR BOS/IT,Air Force,,"Public Trust, Secret",Medium,,,,“AF EW/cyber”; “53rd Wing”; “IT/EW support”; “test & evaluation”; “Eglin/Nellis/Hill”; “weapon system EW”; “operational test”; “cyber test infrastructure”; base operations/IT context at Tyndall,,,,,,,,"IT ops staff running base and operational IT; BOS personnel (facility/ops staff) supporting mission infrastructure; service desk, sysadmins, network technicians"
53rd Air Wing IT/EW Support,53rd Air Wing,Air Force,Medium,"Secret, TS/SCI",Medium,,,"Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, Test & Evaluation)","“AF EW/cyber”, “53rd Wing”, “IT/EW support”, “test & evaluation”, “Eglin/Nellis/Hill”, “weapon system EW”, “operational test”, “cyber test infrastructure”",,Target,,"SAIC / Leidos (indicative, not confirmed)",Cyber,,No explicit listing in files; derived from 53rd Wing (EW/cyber test) mission set + your field inputs,Cybersecurity engineers; EW engineers; Spectrum operations; Software test engineers; Range IT/mission support techs; Data analysts; Systems engineers (EW/cyber test); Network engineers
Advanced Battle Management System,ABMS,Air Force,Medium,"Secret, Top Secret",Medium,,MULTIPLE CONTRACTS,"Eglin AFB, FL; Hanscom AFB, MA",FVL / LRPF / AMD / NGCV / Network / Soldier,"CACI, Raytheon",None,,Multi (SAIC supports parts),Professional Services,,"Multiple primes (Lockheed, Raytheon, Northrop, BAE, GD, etc. depending on portfolio)",AUSA Modernization Portfolios (aggregate)
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,,"Secret, Top Secret",High,Multi-$B,,Tucson AZ (Raytheon missile facilities); additional supplier sites across U.S. and allied nations,“AMRAAM”; “Multi-$B”; “Production”; Raytheon; USAF/USN missile engineering,,,,Raytheon,Weapon Systems,,"User line identifying Raytheon, AMRAAM, multi-$B, production; detailed contract IDs and lot breakdown not present → specific financials/vehicles remain high-level",Missile engineers; systems engineers; guidance and control engineers; hardware/electronics engineers; test engineers; production engineering staff; configuration and quality engineers
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,,"Secret, TS/SCI",Medium,,,"Aegis ashore and afloat sites; e.g., Aurora CO; Huntsville AL; shipyards",ABMS,,,,Lockheed Martin,Professional Services,,Multiple (SAIC supports parts as SE&I / integration),Advanced Battle Management System
AF National Capital Region IT Support (AFNCR),AFNCR IT,Air Force,,Secret,Medium,$450M,,Pentagon; Joint Base Andrews (JBA),"“AFNCR IT”, “Pentagon/JBA”, “desktop/net ops”, “844th CG”",,,,Leidos (historical incumbent),,,Derived from AFNCR/844th CG Leidos support notes in your files,Desktop support; network operations; service desk; infrastructure techs; VIP support
AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,AF Strategic Tech Support,Air Force,,"Secret, TS/SCI",Medium,,,,“C5ISR / Cyber / Electronic Warfare”; “AF Strategic Tech Support”; HQ/MAJCOM support; enterprise services,,,,,Cyber,,,Engineering and cyber consultants; C5ISR systems engineers; strategy/roadmap analysts; cyber planners; HQ IT architects; integration engineers across AF portfolios
AF TENCAP – 53rd EW Group / HOPE 2.0 & Test Integration Support,AF TENCAP / 53rd EW,Air Force,,"Secret, TS/SCI",Medium,,,"Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, test & evaluation detachments); Colorado Springs CO (AF TENCAP core); other AF TENCAP locations participating in EW/cyber experiments","“AF TENCAP Program Office”; “HOPE 2.0”; “EPASS”; “53rd EW Group, Test & Evaluation”; integration of TENCAP capabilities into operational EW/cyber units",,,,,,,,Principal systems engineers; EW/cyber integration engineers; test & evaluation leads; program managers; financial managers; data/analytics staff; requirements analysts; technical writers and documentation specialists supporting EW/cyber test events and AF TENCAP prototypes
AF TENCAP – HOPE 2.0 A&AS Support,HOPE 2.0,Air Force,,"Secret, TS/SCI",Medium,,,,"“AF TENCAP”; “HOPE 2.0”; “EPASS”; “Odyssey Systems Team… subcontractor to SAIC during HOPE 2.0 execution…”; A&AS, SE&I, PM support",,,,,Intel,,,Project/program managers; principal systems engineers; integration engineers; schedulers; earned-value/financial analysts; logistics and documentation support; experiment/test planners; stakeholder engagement and requirements analysts
