Program,Status,Budget_Contacts,Primary_Primes,Secondary_Primes,Primary_Locations,Job_Titles_to_Target,Keywords_for_Search,LinkedIn_Strategy,ZoomInfo_Query,Estimated_Contract_Value,Why_Virgin,First_Week_Goal
NETCENTS,VIRGIN,80,"GDIT,SAIC,Leidos","CACI,ManTech","Scott AFB IL,San Antonio TX","Program Manager,Task Order Manager,Operations Manager,Delivery Manager","NETCENTS,Air Force IT,AFNET,network centric",Search Air Force IT managers at primes near Scott AFB,"Company: GDIT; SAIC; Leidos; CACI | Title: Program Manager; Task Order Manager | Location: Scott AFB IL 25mi | Keywords: NETCENTS OR Air Force IT",$3B+,Zero Bullhorn mentions,Connect with 20 contacts
ENCORE,VIRGIN,70,"Leidos,CACI,SAIC","Peraton,ManTech","Reston VA,Bolling AFB DC","Program Manager,Task Order Manager,Technical Lead,Staffing Manager","ENCORE,DIA,defense intelligence,enterprise",Search DIA program managers at Leidos/CACI,"Company: Leidos; CACI; SAIC; Peraton | Title: Program Manager; Task Order Manager | Location: Reston VA 20mi | Keywords: ENCORE OR DIA",$2B+,Zero Bullhorn mentions,Connect with 15 contacts
OASIS,VIRGIN,60,"Booz Allen,Deloitte,CACI","SAIC,Leidos,ManTech","Washington DC,Reston VA","Program Manager,Engagement Manager,Task Order Lead,Delivery Manager","OASIS,GSA,professional services,federal consulting",Search GSA schedule holders at major consultancies,"Company: Booz Allen; Deloitte; CACI; SAIC | Title: Program Manager; Engagement Manager | Location: DC 30mi | Keywords: OASIS OR GSA",$10B+ (multiple awards),Zero Bullhorn mentions,Connect with 15 contacts
SEWP,VIRGIN,50,"CACI,SAIC,Leidos","GDIT,Dell,HP,CDW-G","Greenbelt MD,Houston TX","Program Manager,Account Manager,Sales Manager,Federal Sales,Staffing Manager","SEWP,NASA,IT solutions,federal IT hardware",Search NASA IT account managers at IT primes,"Company: CACI; SAIC; Leidos; GDIT | Title: Program Manager; Account Manager | Location: Greenbelt MD 20mi | Keywords: SEWP OR NASA IT",$20B+ (multiple awards),Zero Bullhorn mentions,Connect with 12 contacts
ALLIANT,VIRGIN,50,"GDIT,Leidos,SAIC","CACI,Peraton,ManTech","Fairfax VA,Herndon VA","Program Manager,Task Order Manager,Delivery Manager,Operations Manager","ALLIANT,GSA IT,IT services,federal GWAC",Search GSA Alliant holders at IT primes,"Company: GDIT; Leidos; SAIC; CACI | Title: Program Manager; Task Order Manager | Location: Fairfax VA 20mi | Keywords: ALLIANT OR GSA IT",$50B+ (ceiling),Zero Bullhorn mentions,Connect with 12 contacts
CIO-SP3,VIRGIN,50,"Leidos,CACI,GDIT","SAIC,Booz Allen","Bethesda MD,Rockville MD","Program Manager,Task Order Manager,Health IT Manager,Delivery Manager","CIO-SP3,NIH,HHS,health IT",Search NIH/HHS IT program managers,"Company: Leidos; CACI; GDIT; SAIC | Title: Program Manager; Health IT Manager | Location: Bethesda MD 15mi | Keywords: CIO-SP3 OR NIH",$20B+ (ceiling),Zero Bullhorn mentions,Connect with 12 contacts
ITES,VIRGIN,40,"All Major Primes","","Various Army locations","Program Manager,Task Order Manager,Army IT Manager","ITES,Army IT,enterprise technology,ARCYBER",Search Army IT managers across primes,"Title: Program Manager; Task Order Manager | Keywords: ITES OR Army IT OR Army Enterprise",$12B+,Zero Bullhorn mentions,Connect with 10 contacts
GSA,VIRGIN,40,"All Primes","","Washington DC","Program Manager,Contract Manager,Account Manager,Delivery Manager","GSA,federal schedule,government contracting,GWAC",Search GSA schedule program managers,"Title: Program Manager; Contract Manager | Location: DC 30mi | Keywords: GSA schedule OR federal contracts",$100B+ (all schedules),Zero Bullhorn mentions,Connect with 10 contacts
SETA,VIRGIN,50,"Booz Allen,SAIC,Leidos","CACI,ManTech,Peraton","Washington DC,Huntsville AL","Program Manager,Systems Engineering Manager,Technical Director,SETA Lead","SETA,systems engineering,technical assistance,advisory",Search SETA leads at major consultancies,"Company: Booz Allen; SAIC; Leidos | Title: Systems Engineering Manager; SETA Lead | Keywords: SETA OR systems engineering technical",$5B+,Zero Bullhorn mentions,Connect with 12 contacts
ABMS,VIRGIN,70,"Boeing,Lockheed Martin,Northrop Grumman","Raytheon,L3Harris","El Segundo CA,Huntsville AL,Colorado Springs CO","Program Manager,Engineering Manager,Technical Director,Systems Engineer Manager","ABMS,battle management,air force C2,JADC2",Search Air Force modernization PMs at defense primes,"Company: Boeing; Lockheed; Northrop | Title: Program Manager; Engineering Manager | Location: El Segundo CA 25mi | Keywords: ABMS OR battle management",$6B+,Zero Bullhorn mentions,Connect with 15 contacts
JADC2,VIRGIN,80,"Lockheed Martin,Northrop Grumman,Boeing","Raytheon,L3Harris","El Segundo CA,Arlington VA,Colorado Springs CO","Program Manager,Deputy Program Manager,Technical Director,Engineering Manager","JADC2,all-domain,C2,command control,battle management",Search Joint All-Domain C2 managers at defense primes,"Company: Lockheed; Northrop; Boeing; Raytheon | Title: Program Manager; Deputy PM | Keywords: JADC2 OR all-domain OR joint C2",$10B+,Zero Bullhorn mentions,Connect with 20 contacts
IRES,VIRGIN,80,"Leidos,GDIT","Peraton,SAIC","Colorado Springs CO,Huntsville AL","Program Manager,Task Order Manager,MDA Program Manager","IRES,Integrated Research,Missile Defense Agency,MDA",Search MDA program managers at major primes,"Company: Leidos; GDIT; Peraton | Title: Program Manager | Location: Colorado Springs 25mi | Keywords: IRES OR Missile Defense",$800M+,Zero Bullhorn mentions - HIGH PRIORITY,Connect with 20 contacts
