program_name,full_name,program_type,parent_organization,agency,mention_count,prime_count,associated_primes,technology_areas,roles_needed,aggregated_summary
INSCOM,Intelligence and Security Command,Intelligence Command,Army,DoD,1304,15,"Amazon Web Services, CACI, CSRA, Cisco, Deloitte, General Dynamics, Jacobs, Leidos, Lockheed Martin, ManTech","networking, ai_ml","manager, lead, executive, senior, engineer",GDIT - Resource Manager - INSCOM - Meeting w/ Amy the following items: Brandon Boodie ongoing issue with his lead James Chillous. Amy is going to touch base w/ Rick Maldonado to see some avenues for going forward. Kenneth Heales 2 weeks notice. Looks like funding will be extended for all contractors through the middle of April. The team would like to move forward with interviews for Jethro Ballitoc and Harry Akinmeya for our Service Desk backfill. Network Engineer - AOG Meade Site Lead - INSCOM 
DIA,Defense Intelligence Agency,Intelligence Agency,DoD,DoD,1018,31,"Accenture Federal, Amazon Web Services, BAE Systems, Boeing, Booz Allen Hamilton, CACI, Cisco, Cubic, Dell Technologies, Deloitte","ai_ml, software_dev, cybersecurity, networking, database","manager, executive, director, lead, engineer, senior","really do not have a lot right now. still waiting on capture efforst. Siemens Govt Technologies - Director of Capture RTB: Rachel had Rod, Wes, and Tiernan on. Rod is over ops and maintenance, Wes is the Ops director, & Tiernan is the VP of business development & sales. SGT does work conus and oconus, not all cleared. Booz Allen Hamilton - Principal/Director RTP: -Been on the road the past two weeks and has been super busy -Decent football fan but does not have a dog in the U and Indiana game RT"
ITES,Information Technology Enterprise Solutions,Contract Vehicle,Army,DoD,641,31,"Amazon Web Services, BAE Systems, Boeing, Booz Allen Hamilton, CACI, Cisco, Deloitte, Elastic, General Dynamics, IBM Federal","ai_ml, software_dev, networking, cloud, systems_engineering","engineer, lead, manager, executive, director, senior","Arcfield, Infrastructure & Field Services Meeting, they're holding off on travel people for now, delays with acquisitions of new sites most likely. Glass isn't making sub approvals atm, we saw the same happening with Adams team. Leidos - GSMO - TN01 - met about the Journeyman NetOps Engineer spot - they are hoping to close out the spot soon, said it's been a slow process because of the holidays and then his SMEs were on vacation and now his SMEs are being pulled into emergency situations - as a "
NGA,National Geospatial-Intelligence Agency,Intelligence Agency,DoD,DoD,448,26,"Accenture Federal, Amazon Web Services, Boeing, Booz Allen Hamilton, CACI, Cisco, Deloitte, General Dynamics, Google, Huntington Ingalls","ai_ml, cybersecurity, systems_engineering, software_dev, project_management","manager, lead, senior, engineer, executive, director","Peraton - NARSIL - Arturo Flores - Task 8, Senior Project Manager - Scheduled Call to Discuss Candidates and Future Reqs - Weds. 14th at 10:30am ET Next Steps: F/U Meeting on Tuesday, Feb. Georgia Pacific - IT/Vendor Management Onsite meeting with Yi-Sen. He lives in Lawrenceville, GA. He is originally from Wisconsin, came to Atlanta in 1994. Raytheon - Manager for Radar and Coyote Field Support - Said he’s already had a busy day - His day starts at 5am - because he has a total of 21 deployed pe"
NSA,National Security Agency,Intelligence Agency,DoD,DoD,210,20,"Accenture Federal, Amazon Web Services, Boeing, CACI, Deloitte, General Dynamics, Jacobs, Leidos, Lockheed Martin, Microsoft","ai_ml, database, project_management, cybersecurity, software_dev","manager, lead, engineer, executive, senior, director","Leidos, MCEN: had a meeting with Marc Wednesday, confirmed he's still overseeing the service desk team in Kansas City. Confirmed that team is still almost at 100%, they have a current opening but it's exclusive with the sub till the end of this week, said he's opening it to all if it's unfilled next week. Also gave me a heads up about an IT Junior role opening in Yuma, said he would need someone that can ideally start by the 26th, but said to send over anyone that needs more time to get down the"
DISA,Defense Information Systems Agency,Defense Agency,DoD,DoD,174,23,"Accenture Federal, Amazon Web Services, BAE Systems, Boeing, Booz Allen Hamilton, CACI, Cisco, Dell Technologies, Deloitte, Engility","ai_ml, networking, cloud, systems_engineering, cybersecurity","lead, manager, engineer, executive, director, senior","Leidos - DISA Global Boundary Contract Lead - Monthly Meeting RTP: - Kelsey said she had a great time over the holidays - She went up to cleveland to be with her sister and her sisters kids, she said the youngest one is 6 years old so santa still exists for them and its very fun - she said her last parting gift with her family was getting covid, so she spend new years eve and new years day napping and being sick - Will said his time in alabama with his family was ""peaceful"" and that is about it "
NASA,National Aeronautics and Space Administration,Civilian Agency,Executive Branch,NASA,133,11,"Accenture Federal, Amazon Web Services, Boeing, General Dynamics, Jacobs, Leidos, Lockheed Martin, Microsoft, Raytheon, SAIC","ai_ml, systems_engineering, cloud, cybersecurity, software_dev","engineer, executive, director, senior, manager, lead","Meeting with Dana Dunavant - Head of Design Center (Huntsville) - 1/13/2026 RTB - Stayed in for his vacation and went back to his farm. He rebuilt one of the four-wheelers with his son during the break and spent time with his family. RTB - Nasa Budget is coming in Strong DOD Budget is coming in Strong For SLS ""NASA"" needs a more capapble upperstage Boeing has been staying on schedule for most of their programs SLS is looking really good right now and is fully funded for the next 3 years Artemis "
DEOS,Defense Enterprise Office Solutions,Contract Vehicle,DoD,DoD,131,6,"Amazon Web Services, Dell Technologies, General Dynamics, Microsoft, Okta, Red Hat","ai_ml, cloud, database, cybersecurity, systems_engineering","executive, director, senior, manager, engineer, lead","Director - GDIT - DEOS- Tag up meeting with Kevin, small talked for a bit (he was joking about his wife getting stranded running out of gas this morning and he had to go take her some). Horizon is looking somewhat slim for them for the foreseeable future on hiring in GAMCES/DEOS. GDIT - DEOS- Deputy PM- tag up with Britt, she is getting an internal push to start converting some of our folks (she says they are all killing it), having those discussions with her now, she is making sure they hit the"
Sentinel,LGM-35A Sentinel ICBM,Weapons System,Air Force,DoD,116,10,"Amazon Web Services, BAE Systems, Dell Technologies, General Dynamics, Leidos, Lockheed Martin, Microsoft, Northrop Grumman, Raytheon, Red Hat","ai_ml, systems_engineering, software_dev, project_management, data_analytics","engineer, manager, senior, executive, lead, director","NGC - SDS - Small Business Liasson RTP: In Roy, Utah. had a good Christmas and New Year RTB: Janette asked about us having 2 different supplier codes in NGC's system and which is the one to use. It sounds like one is for beeline and the other is for statement of work. NGC - Sentinel - Senior Manager RTP: Todd recently had rotator cuff surgery so took most of Dec. off RTB: no big changes since I last spoke with Todd, hiring still flat right now. Anduril is taking some of their people, and they we"
MDA,Missile Defense Agency,Defense Agency,DoD,DoD,84,11,"Boeing, CACI, General Dynamics, Jacobs, Leidos, Lockheed Martin, Microsoft, Northrop Grumman, Parsons, Raytheon","ai_ml, systems_engineering, software_dev, networking, project_management","lead, manager, senior, engineer, executive",SAIC - Golden Dome - Josh reached out to schedule a meeting this week to discuss the release of Tranche 3 for Golden Dome. He has been head down focused on pushing SAIC over the finish line. Was nervous they weren't on the original 2 but relieved they earned their way on Tranche 3. Leidos - DES Update with Sarah and MDA. She is still waiting on a response for the government on their proposal. DLA has started up again but will not need staffing until April/May. Leidos - DES Call with Sarah about 
