Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Filter Reason
1st AF / CONR Base Operations & IT Services (Tyndall),CONR BOS/IT,Air Force,,"Public Trust, Secret",Medium,,,,“AF EW/cyber”; “53rd Wing”; “IT/EW support”; “test & evaluation”; “Eglin/Nellis/Hill”; “weapon system EW”; “operational test”; “cyber test infrastructure”; base operations/IT context at Tyndall,,,,,,,,"IT ops staff running base and operational IT; BOS personnel (facility/ops staff) supporting mission infrastructure; service desk, sysadmins, network technicians",No prime contractor (incomplete data)
AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,AF Strategic Tech Support,Air Force,,"Secret, TS/SCI",Medium,,,,“C5ISR / Cyber / Electronic Warfare”; “AF Strategic Tech Support”; HQ/MAJCOM support; enterprise services,,,,,Cyber,,,Engineering and cyber consultants; C5ISR systems engineers; strategy/roadmap analysts; cyber planners; HQ IT architects; integration engineers across AF portfolios,No prime contractor (incomplete data)
AF TENCAP – 53rd EW Group / HOPE 2.0 & Test Integration Support,AF TENCAP / 53rd EW,Air Force,,"Secret, TS/SCI",Medium,,,"Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, test & evaluation detachments); Colorado Springs CO (AF TENCAP core); other AF TENCAP locations participating in EW/cyber experiments","“AF TENCAP Program Office”; “HOPE 2.0”; “EPASS”; “53rd EW Group, Test & Evaluation”; integration of TENCAP capabilities into operational EW/cyber units",,,,,,,,Principal systems engineers; EW/cyber integration engineers; test & evaluation leads; program managers; financial managers; data/analytics staff; requirements analysts; technical writers and documentation specialists supporting EW/cyber test events and AF TENCAP prototypes,No prime contractor (incomplete data)
AF TENCAP – HOPE 2.0 A&AS Support,HOPE 2.0,Air Force,,"Secret, TS/SCI",Medium,,,,"“AF TENCAP”; “HOPE 2.0”; “EPASS”; “Odyssey Systems Team… subcontractor to SAIC during HOPE 2.0 execution…”; A&AS, SE&I, PM support",,,,,Intel,,,Project/program managers; principal systems engineers; integration engineers; schedulers; earned-value/financial analysts; logistics and documentation support; experiment/test planners; stakeholder engagement and requirements analysts,No prime contractor (incomplete data)
AF TENCAP IT/EW Mission Support (EPASS A&AS),AF TENCAP A&AS,Air Force,,"Secret, TS/SCI",Medium,,,,“AF TENCAP Program Office”; “EPASS A&AS”; “Odyssey Systems team”; rapid exploitation of intel/space capabilities for warfighters; experimentation and prototyping advisory services,,,,,,,,Systems engineers; experiment planners; program/project managers; schedulers; financial analysts and budgeteers; intel/space liaisons bridging NRO/NGA/IC feeds into AF TENCAP projects; configuration managers; test & evaluation support staff,No prime contractor (incomplete data)
AFCENT Enterprise IT & Cyber Support,AFCENT IT,Air Force,,"Secret, TS/SCI",Medium,,,USCENTCOM AOR (multiple bases in SWA); Shaw AFB SC and other CONUS reach-back sites,“AFCENT IT”; “USAF (CENTCOM)”; “AOR & Shaw”; network/cyber operations; theater IT O&M,,,,,Cyber,,,Cybersecurity engineers; EW engineers and spectrum operations staff supporting mission systems; software test engineers; range IT/mission support technicians; data analysts; systems engineers for EW/cyber test; network engineers and administrators for AFCENT networks,No prime contractor (incomplete data)
AICCS C5ISR System Support (indicative),AICCS,Other,,"Secret, TS/SCI",Medium,,,,“AICCS”; “Systems”; C5ISR; joint AF/Navy context,,,,,,,,Systems engineers; integration and test engineers; C5ISR architects; requirements and interface control staff,Inactive keyword in name: indicative
Air & Space Cyber Conference Programs,Various (e.g. AFA Events,Air Force,,,Medium,,,"National Harbor, MD",Aegis,,,,"Multiple (Leidos, SAIC, Northrop)",Weapon Systems,,Lockheed Martin,Aegis Ballistic Missile Defense / Aegis Program,Event/Conference (not contract): conference
Air & Space Force Cyber Conference (Event Target),,Air Force,,Top Secret,High,,,National Harbor MD,“Air & Space Cyber Conference”; “BD attendance target”,,,,Industry-wide (multiple primes),Event,,DoD Events Calendar (L140–L150),BD reps; Program Managers,Event/Conference (not contract): conference
Air Force Cloud & Cyber Support Program,,Air Force,🟠 High,"Public Trust, Top Secret",High,,Task Order,Pentagon; All USAF Bases,supporting a $10B contract… manage multiple teams… cloud infrastructure across all Air Force bases,,Target,"January 1, 2021 → January 1, 2025",Five Star Tech Solutions,Cyber,"April 30, 2025",serving DoD clients as Cybersecurity Technical Operations Manager… Cloud & Cyber Security Programs… at Pentagon,"Cloud Engineers, Network Engineers, Cybersecurity SMEs, Admins",Ended in 2025 (last year)
Air Force SAP Security Support Services,“Justified”,Air Force,Medium,Secret,Medium,,Multi-Year,TS/SCI (SAP),Intel / Security,,Past,,GDIT,Professional Services,,High,"“We placed ASR II/III, PSR III, ISSO at multiple AF sites under ‘Justified’”",PTS Involvement = Past
Alamo ACE Conference / TechNet,—,Army,,,Medium,,,San Antonio TX,"“AFCEA,” “DISA,” “Networking”",,,,Multiple,Event,,Event decision list,BD reps; PMs; capture leads; cyber SMEs,Event/Conference (not contract): conference
AOC Falcon Integration Services,AOC Falcon V,Air Force,,"Secret, TS/SCI",Medium,,,,“AOC Falcon Integration”; “AOC Falcon V”; “AOC engineers”; C2/IT; AOC mission systems,,,,,,,,AOC engineers; C2 systems integrators; mission systems admins; network engineers supporting AOC infrastructure; software integrators for Falcon V and related tools; help-desk and floor support techs,No prime contractor (incomplete data)
Army Reprogramming Analysis Team,ARAT,Army,,Top Secret,Medium,,,Secret,C5ISR,,,,,Professional Services,,Medium,“EW reprogramming”; ARAT mission,No prime contractor (incomplete data)
ASA(ALT) CITRA,CITRA,Army,Medium,Secret,Medium,,Program,NCR,,,None,,,Intel,,SAIC,ARNG G-2 Intelligence IT Support,No prime contractor (incomplete data)
Battlefield Information Collection & Exploitation System,BICES,DoD,Medium,TS/SCI,High,$250M,IDIQ,Offutt AFB NE; Europe,"“USSTRATCOM, NATO Intel, Mission Networks”",Leidos; SAIC; subcontractors,Past,,CACI,Intel,,TS/SCI BICES job mapping,Network engineers; cyber analysts; intel support staff,PTS Involvement = Past
BICES (Battlefield Intelligence Collection & Exploitation System),BICES,DoD,Medium,TS/SCI,Medium,$500M,IDIQ,Offutt AFB; EU/NATO bases,“Battlefield Intel; NATO; Signals Collection”,Leidos; SAIC; GDIT,Past,,CACI,Intel,,AI Program-Mapping Engine association,Network engineers; intel systems engineers,PTS Involvement = Past
BICES (Expanded Historical Listing),BICES,DoD,Medium,Secret,Medium,,,TS/SCI,Intel,GDIT; Leidos (historical subs),Past,,CACI,Professional Services,,Medium,“BICES… cleared IT”,PTS Involvement = Past
BIM (Indicative Program Entry),BIM,DoD,,Secret,Medium,,,,“BIM”,,,,,,,Placeholder entry,IT; modernization,Inactive keyword in name: indicative
Blanket Order Agreement – Staff Augmentation,BOA (Northrop),Other,,"Secret, Top Secret",Medium,,,Roy UT; Colorado Springs CO; Hill AFB UT,“BOA”; “surge support”; “staff augmentation”,Prime Technical Services; others,,,Northrop Grumman,Professional Services,,Prime NGC Past Performance,ISSOs; testers; DevOps; logistics,Inactive keyword in evidence: past
Blanket Ordering Agreement,BOA,DoD,,"Secret, Top Secret",Low,,,Roy UT; Colorado Springs CO; Hill AFB UT,“BOA surge support”,,,,,,,General BOA notes,ISSOs; testers; DevOps; logistics,No prime contractor (incomplete data)
C2BMC (placeholder row),C2BMC,Other,,,High,,,,Missile; BMDS; MDA,,,,,Weapon Systems,,User knowledge list,,Inactive keyword in name: placeholder
Castle Net (Recompete),Castle Net,DoD,,Secret,Medium,,,,“Recompete list”,,,,,,,Row entry,IT ops; admins; engineers,No prime contractor (incomplete data)
CDAO AI Tools OTA (Expanded),Donovan,DoD,Medium,TS/SCI,Medium,$100M,OTA,DoD secure enclaves,“Scale AI… deployable AI tools up to TS/SCI”,,None,"January 1, 2025",Scale AI,R&D,,OTA notes,AI engineers; data labelers; DevOps,Ended in 2025 (last year)
CMS FPS2,FPS2,DoD,,Public Trust,Low,,,CMS,“FPS2”,,,,,,,Row entry,DevOps; developers,No prime contractor (incomplete data)
Commercial Virtual Remote Collaboration (Legacy) – Secondary Row,CVR,DISA,Medium,Secret,Medium,,2020–2021,IL5/IL6,IT Ops / Cyber,,None,,,Professional Services,,Medium,“CVR… Teams… O365 sunset”,Inactive keyword in name: legacy
Commercial Virtual Remote Collaboration Support (legacy),CVR,DISA,,Secret,Medium,,,IL5 / IL6,IT Ops / Cyber,,,,,Professional Services,,Medium,"“CVR, Teams, Remote Collaboration, O365 sunset, DOD365”",Inactive keyword in name: legacy
Conventional Prompt Strike – Secondary Row,CPS,Navy,Medium,"Secret, Top Secret",Medium,Multi-$B,Production,Fleet & Army,“Hypersonic missiles”,Northrop; subsystem providers,None,"January 1, 2019",Lockheed Martin,Weapon Systems,,Hypersonics notes,Hypersonic engineering; embedded software; flight test,Ended in 2019 (>1 year ago)
Counterintelligence Field Activity,CIFA,DIA,,TS/SCI w/ Poly,Low,,,Washington DC,"“Counterintel, CIFA, CI Agent”",unknown,,,CACI,Intel,,Older PTS past performance notes,HUMINT; CI analyst; intel support,Inactive keyword in evidence: past
Counterintelligence Field Activity – Secondary Row,CIFA,DIA,,TS/SCI w/ Poly,Low,,,Washington DC,“CIFA”,unknown,,,CACI,Intel,,PTS past performance notes,HUMINT; CI agents; intel collection,Inactive keyword in evidence: past
CRIP (Indicative Program),CRIP,DoD,,Secret,Medium,,,Secret,IT Ops,,,,,Professional Services,,Medium,“CRIP”,Inactive keyword in name: indicative
CYBAR TRON (Recompete),CYBAR TRON,DoD,,Secret,Medium,,,,“CYBAR TRON”,,,,,Cyber,,Row entry,Cyber engineers; cyber analysts,No prime contractor (incomplete data)
DHA Enterprise IT Services BPA,EITSI,DoD,Medium,"Public Trust, Secret",Medium,$2B,BPA,DHA sites,“Health IT”,Multiple,None,"January 1, 2022",Peraton (Perspecta heritage),IT Ops,,Provided entry,Service desk; modernization; health IT,Ended in 2022 (>1 year ago)
DHA Enterprise IT Transformation,EITSI (BPA),DoD,High,"Public Trust, Secret",High,$2B,BPA,DHA sites,“Perspecta secures $2B BPA”,Multiple,None,"January 1, 2022",Peraton (Perspecta),IT Ops,,BPA news references,Health IT desk; modernization engineers; cyber,Ended in 2022 (>1 year ago)
DISA Forecast to Industry (Event),,DISA,,Secret,Medium,,,Fort Meade MD,“DISA Forecast… Networking Event… DoD Events Calendar L140–L150”,,,,,Event,,Provided text,BD reps; capture managers; PMs; cyber/IT vendors,Event/Conference (not contract): event
DLA JETS (Variant Row),DLA JETS,DoD,Medium,Secret,Medium,$6B,IDIQ,Richmond VA,"“Logistics, Enterprise Tech”",,None,"January 1, 2016 → January 1, 2024",Multiple,Logistics,,Scoring Engine model citation,Procurement analysts; IT engineers,Ended in 2024 (>1 year ago)
DoD Cloud Computing Program Office Support (CCPO / ATAT),CCPO,DISA,High,"Public Trust, Top Secret",High,$21M,FFP,Crystal City VA; Remote; Fort Meade,"“DISA CCPO, ATAT, DoD365, Flank Speed, MS Azure…”",Five Star Technology Solutions,None,"January 1, 2020 → January 1, 2025",Hunter Strategy LLC,Cyber,,Provided text,Cloud engineers; cyber analysts; Azure admins; program managers,Ended in 2025 (last year)
DoD HPC Modernization Program Support (HITS-U),HPCMP (HITS-U),Army,High,Secret,High,$586M,Single Award,Vicksburg MS; Aberdeen MD; Wright-Patterson AFB; other DSRCs,“SAIC… managing five DoD Supercomputing Centers… staffing-intensive”,Analytical Services Inc. (ASI); others,None,"January 1, 2014 → January 1, 2021",SAIC,R&D,,Provided text,HPC sysadmins; computational scientists; network engineers,Ended in 2021 (>1 year ago)
DOORS,,Other,,,Low,,,,,,,,,Professional Services,,,,No prime contractor (incomplete data)
