Program Name,Prime Contractor,Key Locations,Clearance Requirements,Typical Roles,Job Titles,Tech Stack,Functional Areas
16th Air Force Mission IT Support,ManTech,Lackland TX; Eglin/Tyndall FL; Nellis NV; Hill UT,"Secret, TS/SCI","Mission help desk, Software support techs, Cyber ops, EW techs",Mission help desk; Software support techs; Cyber ops; EW techs,AI,Software Development; IT Operations; Cybersecurity
53rd Air Wing IT/EW Support,"SAIC / Leidos (indicative, not confirmed)","Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, Test & Evaluation)","Secret, TS/SCI",Cybersecurity engineers; EW engineers; Spectrum operations; Software test engineers; Range IT/mission support techs; Data analysts; Systems engineers (EW/cyber test); Network engineers,Cybersecurity engineers; EW engineers; Spectrum operations; Software test engineers; Range IT/mission support techs; Data analysts; Systems engineers (EW/cyber test); Network engineers,AI; cybersecurity; network,Data Analytics; Software Development; Cybersecurity
Advanced Battle Management System,Multi (SAIC supports parts),"Eglin AFB, FL; Hanscom AFB, MA","Secret, Top Secret",AUSA Modernization Portfolios (aggregate),AUSA Modernization Portfolios (aggregate),network,
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,Raytheon,Tucson AZ (Raytheon missile facilities); additional supplier sites across U.S. and allied nations,"Secret, Top Secret",Missile engineers; systems engineers; guidance and control engineers; hardware/electronics engineers; test engineers; production engineering staff; configuration and quality engineers,Missile engineers; systems engineers; guidance and control engineers; hardware/electronics engineers; test engineers; production engineering staff; configuration and quality engineers,AI,Logistics
Aegis Ballistic Missile Defense / Aegis Program,Lockheed Martin,"Aegis ashore and afloat sites; e.g., Aurora CO; Huntsville AL; shipyards","Secret, TS/SCI",Advanced Battle Management System,Advanced Battle Management System,,
AF National Capital Region IT Support (AFNCR),Leidos (historical incumbent),Pentagon; Joint Base Andrews (JBA),Secret,Desktop support; network operations; service desk; infrastructure techs; VIP support,Desktop support; network operations; service desk; infrastructure techs; VIP support,network,IT Operations
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),CACI,,"Secret, TS/SCI",Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff,Information System Security Officers (ISSO); Information System Security Managers (ISSM); Cyber manager/lead; potential supporting cyber analysts and RMF documentation staff,,Cybersecurity
Air Force Advanced Battle Management System,"Multiple: SAIC, Leidos, Booz Allen Hamilton","Eglin AFB, FL; Hanscom AFB, MA","Secret, Top Secret",Air & Space Cyber Conference Programs,Air & Space Cyber Conference Programs,AI,Cybersecurity
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),San Antonio TX; Colorado Springs CO; remote DevSecOps hubs,"Secret, TS/SCI",DevSecOps engineers; software developers; cloud engineers; Zero Trust engineers; Agile software factory personnel,DevSecOps engineers; software developers; cloud engineers; Zero Trust engineers; Agile software factory personnel,DevSecOps; AI; cloud; Zero Trust; Platform One; Cloud One,Software Development; Cloud Services; Cybersecurity
Air Force GIS Program (Lockheed Martin),Lockheed Martin,AFLCMC (multiple program offices),Secret,GIS engineers; geospatial analysts; systems integrators,GIS engineers; geospatial analysts; systems integrators,AI,
Air Force Platform One / DevSecOps Initiative,USAF (Internal),San Antonio TX; Colorado Springs CO,"Secret, Top Secret",DevSecOps engineers; cloud engineers; CI/CD architects,DevSecOps engineers; cloud engineers; CI/CD architects,DevSecOps; AI; cloud; Zero Trust; Platform One; CI/CD,Cloud Services
ARCYBER Information Advantage / Mission Support (general),Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),"Fort Eisenhower GA (ARCYBER HQ); additional locations including Fort Meade MD, Pentagon/NCR, and distributed cyber units as required by task orders","Polygraph, Secret, TS/SCI, TS/SCI w/ Poly, Top Secret",Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers,Cyber operators; hunt/defend teams; EW and IO planners; cyber intel analysts; mission planners; developers/engineers for cyber tools; strategy/policy analysts; training and exercise support; project/program managers,AI,Cybersecurity
Army “Project Convergence”,SAIC,Secret,Top Secret,“AI/automation experimentation”; “JADC2 exercises”,“AI/automation experimentation”; “JADC2 exercises”,AI,
