program,location,total_openings,leadership_openings,lead_openings,senior_openings,junior_openings,job_sources,clearances_needed,sample_titles,prime_contractor,hiring_intensity
Project Convergence (JADC2 Experiments),"Montgomery, Alabama",7,0,0,3,4,Insight Global,Secret; TS/SCI,SECRET NETWORK ADMINISTRATOR II (DAYS); TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON); TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON); TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT); SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),SAIC,High
Army AESD Enterprise Service Desk,"San Antonio, Texas",5,1,1,0,3,Insight Global,TS/SCI,"MECHANICAL ENGINEER, PE - DESIGNER; TS/SCI ENGINEERING TECHNICIAN; TS/SCI LOGISTICS SPECIALIST; TS/SCI PROGRAM MANAGER; TS/SCI PROGRAM ADMINISTRATOR",SAIC,High
GBS (Global Broadcast Service),"San Diego, California",4,0,0,0,4,Insight Global,Secret,SYSTEMS ADMINISTRATOR; ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN; V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN; SECRET CLEARED TECHNICAL WRITER,L3Harris (historical),Medium
Advanced Battle Management System,"Colorado Springs, Colorado",3,0,0,1,2,Insight Global,Top Secret; Secret,PRICING ANALYST - SECRET CLEARANCE; SECRET SENIOR ELASTIC ENGINEER; SALES ENGINEER,Multi (SAIC supports parts),Medium
Aegis Ballistic Missile Defense / Aegis Program,"Huntsville, Alabama",3,0,0,2,1,Insight Global,Secret; TS/SCI,ELECTRICAL ENGINEER - SECRET CLEARANCE; SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE; TS/SCI - SENIOR SURVIVABILITY ENGINEER,Lockheed Martin,Medium
"EDIS – Engineering, Development, Integration & Sustainment","Colorado Springs, Colorado",3,0,0,0,3,Insight Global,Top Secret; TS/SCI,SCHEDULER; SECRET SOFTWARE ENGINEER; TS/SCI - GCCS SYSTEMS ENGINEER,SAIC,Medium
Global Service Management – Operations II,"Huntsville, Alabama",3,0,1,0,2,Insight Global,Secret,DEVSECOPS ENGINEER - SECRET CLEARANCE; PROGRAM INTEGRATOR; CAPTURE MANAGER,Leidos,Medium
Global Service Management – Operations II,"Kings Bay, Georgia",3,0,0,0,3,Insight Global,,STRUCTURAL WELDER; BLASTER / PAINTER; SHIPFITTER,Leidos,Medium
Integrated Base Defense Security System,"Reston, VA",3,0,0,0,3,Apex Systems,,Sr Systems Administrator; Sr ISSE; Sr Network Engineer,Leidos,Medium
Advanced Battle Management System,"Washington, District Of Columbia",2,0,0,0,2,Insight Global,Top Secret,"TOP SECRET RESEARCH PHYSICIST 1; TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY)",Multi (SAIC supports parts),Medium
